word;meaning;Level
reckon;To believe that something is true.;B1
reflect;To think about something carefully and seriously.;B1
sceptical;Having doubts about something that other people think is true or right.;C1
speculate;To consider or discuss why something has happened.;C1
suppose;To believe that something is probably true based on your experience your knowledge and any other information that you have.;A2
academic;Relating to education especially education in colleges and universities.;B1
academic;Good at learning things by studying.;B1
academic;Not relating to a real situation and therefore not relevant.;C1
academic;Someone who teaches or does research at a college or university.;B1
conscientious;Working hard and being careful to do things well.;C1
cram;To study hard in order to learn a lot in a short time especially for an examination.;B1
curriculum;The subjects that students study at a particular school or college.;B1
distance learning;A system in which students work at home with the help of television and radio broadcasts and send work to their teachers by post or e-mail.;B1
graduate;Someone who has a degree from a university.;B1
graduate;To complete your studies at a university or college usually by getting a degree.;B1
ignorant;Not knowing something that you should know or need to know.;B2
inattentive;Not giving much attention to someone or something.;B2
intellectual;Relating to the ability to think in an intelligent way and to understand things especially difficult or complicated ideas and subjects.;B2
intellectual;Well educated and interested in art science literature etc at an advanced level.;B2
intellectual;Someone who is well educated and interested in art science literature etc at an advanced level.;B2
intelligent;Good at thinking clearly and quickly at understanding difficult ideas and subjects and at gaining and using knowledge.;B1
intensive;Involving a lot of teaching or training in a short time.;B2
knowledgeable;Knowing a lot about many different subjects or about one particular subject.;B2
lecture;A talk to a group of people about a particular subject especially at a college or university.;A2
lecture;To give a lecture or a series of lectures.;B1
mock exam;An examination you take for practice before an important examination.;B1
plagiarise;To take someone else's work ideas or words and use them as if they were your own.;C1
self-study;Work that you do without the help of a teacher.;B1
seminar;A class at a college or university in which a small group of students discusses a subject with a teacher.;B1
special needs;The particular needs of people who are physically or mentally disabled.;B1
tuition;The work that a teacher does when they teach a particular subject especially to one person or a small group.;B1
tutorial;A lesson in which a small group of students discuss a subject with a tutor especially at a university or college.;B1
adapt;To change your ideas or behaviour so that you can deal with a new situation.;B1
adjust;To change something slightly in order to make it better more accurate or more effective.;B1
alternate;If one thing alternates with another it happens after it and keeps being repeated.;B2
alternate;Happening on one day week etc but not on the day week etc that immediately follows.;B2
alternative;Something that you can choose instead of something else.;A2
alternative;Different from something else and able to be used instead of it.;B1
amend;To make changes to a document law agreement etc especially in order to improve it.;C1
conservative;Not willing to accept much change especially in the traditional values of society.;B2
convert;To change from one system use or method to another or to make something do this.;B2
convert;To change your beliefs especially your religious beliefs or to persuade someone to do this.;B2
convert;Someone who has changed their beliefs in an important way.;B2
decay;To be gradually destroyed as a result of a natural process of change or to destroy something in this way.;B2
decay;The gradual destruction of something as a result of a natural process of change.;B2
deteriorate;To become worse.;B2
distort;To change something such as information so that it is no longer true or accurate.;C1
dynamic;Continuously changing growing or developing.;B2
endure;To suffer something unpleasant or difficult in a patient way over a long period.;B2
endure;To last for a long time.;B2
evolve;When a type of plant or animal evolves its physical form changes over a long period of time.;B2
evolve;To gradually change and develop over a period of time.;B2
influence;To affect the way someone thinks or behaves or affect the way something happens.;B1
influence;The effect that a person or thing has on someone's decisions opinions or behaviour or on the way something happens.;B1
innovation;A new idea method piece of equipment etc.;B2
innovative;New original and advanced.;B2
last;To continue existing or happening for or until a particular time.;A2
maintain;To make something stay the same.;B1
mature;To start behaving like an adult and become more sensible as you get older.;B1
mature;Behaving in the sensible way that you would expect an adult to behave.;B1
modify;To change something slightly especially in order to improve it or to make it less extreme.;B2
novel;New or unusual.;B2
persist;To continue to do or say something in a determined way.;B2
potential;The possibility to develop or achieve something in the future.;B1
potential;Possible or likely in the future.;B1
progress;To continue to develop or move forward.;B1
progress;The process of developing or improving.;B1
radical;A radical change or way of doing something is new and very different from the usual way.;B2
refine;To make some changes to something in order to improve it.;C1
reform;To improve a situation by correcting things that are wrong or unfair or make a system work more effectively.;B2
reform;A change intended to correct a situation that is wrong or unfair or make a system work more effectively.;B2
remain;To continue to be in a particular situation or condition.;B1
revise;To change your opinion or judgment of someone or something.;B2
revise;To change improve or make additions to something such as a book law or piece of writing.;B2
revolution;A sudden or major change especially in ideas or methods.;B2
revolution;A situation in which people completely change their government or political system usually by force.;B2
shift;If an idea attitude or plan shifts or someone shifts it it changes.;B2
shift;A change in something for example in someone's ideas or opinions.;B2
spoil;To affect something in a way that makes it worse less attractive or less enjoyable.;B1
status quo;The present situation or the way things usually are.;C1
steady;To hold something firmly without shaking or moving it.;B1
steady;Firmly held in a particular position without moving or shaking.;B1
steady;Staying at the same level speed value etc.;B1
substitute;To remove one thing and put something else in its place.;B2
substitute;Something that is used instead of something else.;B2
sustain;To provide the conditions in which something can happen or exist.;C1
switch;To replace one object with another.;B1
switch;A change from one thing to another.;B1
switch;Something such as a button or key that controls the electrical supply to a light piece of equipment machine etc.;A2
transform;To make someone or something completely different usually in a way that makes them more attractive easier to use etc.;B2
trend;A gradual change or development that produces a particular result.;B2
uniform;The same everywhere.;B2
breakthrough;A discovery or achievement that comes after a lot of hard work.;B2
broadband;Able to send different types of communication signals at the same time.;B1
broadband;A high-speed Internet connection.;B1
click;To make a computer do something by pressing a button on the mouse.;A2
complex;With a lot of details or small parts which makes something difficult to understand or deal with.;B2
consumer electronics;Electrical equipment such as digital cameras etc which is available for the public to buy.;B1
craft;To make or produce something skilfully.;B2
craft;A traditional skill of making things by hand for example furniture or jewellery.;B2
data;Information in a form that a computer can use.;A2
download;To move information to your computer from a computer system or the Internet.;A2
download;A downloaded computer file.;A2
file;A set of information on a computer.;A2
games console;A small piece of electronic equipment that you connect to a screen used for playing video games.;B1
manual;Operated by people rather than automatically or using computers.;B2
manual;A book containing instructions for doing something especially for operating a machine.;B1
network;To connect computers together so that each computer can send and receive information to and from the other computers.;B2
network;A set of computers that are connected to each other so that each computer can send and receive information to and from the other computers.;B2
nuclear;Relating to energy produced by changing the structure of the central part of an atom.;B2
offline;Working on a computer but not connected to the Internet.;B1
offline;Working on a computer but not connected to the Internet.;B1
online;Connected to or available through a computer or a computer network especially the Internet.;A2
online;On the Internet.;A2
primitive;At a very simple stage of development before modern technology.;B2
programmer;Someone whose job is to create computer programs.;B1
resource;Something you can use to help you to achieve something especially in your work or study.;B2
technique;A method of doing something using a special skill that you have developed.;B1
upload;To send documents or programs from your computer to a larger system using the Internet.;B1
abrupt;Sudden and unexpected often in an unpleasant way.;B2
anachronism;Something that is no longer suitable for or relevant to modern times.;C1
annual;Happening once a year.;A2
annual;Calculated or considered over a period of one year.;B1
antique;Old and valuable.;B2
antique;An old object such as a piece of furniture or jewellery that is valuable because it is rare beautiful or well made.;B2
century;a period of 100 years usually counted from a year ending in -00.;A2
chronological;arranged or described in the order in which events happened.;B2
contemporary;modern or relating to the present time.;B2
contemporary;alive or existing at the same time as a particular event or person.;B2
contemporary;someone alive at the same time as a particular event or person.;B2
decade;a period of ten years especially one beginning with a year that ends in a 0.;A2
duration;the period of time during which something continues to happen or exist.;B2
elapse;if time elapses it passes.;C1
era;a period of time that has a particular quality or character.;B2
eternal;continuing for ever or for a very long time.;B2
expire;if an agreement offer or official document expires the period of time during which it exists or can be used comes to an end.;B2
frequency;the number of times that something happens during a period of time.;B2
instantaneous;immediate.;C1
interim;intended to last or perform an activity only until someone or something permanent or final is available.;C1
interim;the time between one thing happening and another or while waiting for something permanent or final to become available.;C1
interval;a period of time between two events.;B2
interval;a short break between the parts of something such as a play or concert.;B2
lapse;a short or temporary period when you fail or forget to do things in the right way.;C1
lapse;a period of time between two events.;C1
lapse;to stop gradually or for a short time.;C1
lapse;if an official document decision or right lapses it is no longer effective.;C1
lifetime;the period of time when someone is alive.;B1
lifetime;the length of time that something exists or works.;B1
long-standing;having existed for a long time.;B2
millennium;a period of 1000 years or the beginning of a period of 1000 years.;B2
obsolete;no longer used because of being replaced by something newer and more effective.;C1
overdue;If something is overdue it should have arrived/been done/been paid/etc before now.;B2
period;An amount of time during which something happens.;A2
permanent;Happening or existing for a long time or for all time in the future.;B1
phase;A particular period of time during the development of something.;B2
postpone;To decide that something will not be done at the time when it was planned for but at a later time.;B1
prior;Happening existing or done before a particular time.;B2
prompt;Immediate or quick.;B2
prompt;Happening or arriving at exactly a particular time.;B2
provisional;Intended to be temporary and likely to be changed when other arrangements are made.;C1
provisional;If an arrangement is provisional the people involved have not yet said that they definitely want to do it.;C1
punctual;Arriving or happening at the time agreed on.;B1
seasonal;Available only during a particular time of year.;B1
seasonal;Suitable or typical of the time of year it is now.;B1
simultaneous;Happening or done at the same time.;B2
span;The amount of time that something lasts.;B2
span;To last for a particular period of time especially a long period.;B2
spell;A period of time usually a short one.;B1
stint;A period of time spent doing something.;C1
subsequent;Happening or coming after something else.;B2
temporary;Existing done or used for only a limited period of time.;B1
timely;Happening at the most suitable time.;C1
vintage;Vintage wine is excellent in quality and was made several years ago.;B2
vintage;A vintage object or vehicle is old but kept in good condition because it is interesting or attractive.;B2
vintage;Showing the best or most typical qualities of someone.;C1
vintage;All of the wine produced in a particular year or the year it was produced.;B2
vintage;The time when something was produced.;B2
colleague;Someone who works in the same organisation or department as you.;B1
consultant;An expert or a professional person whose job is to give help and advice on a particular subject.;B2
consultant;A senior doctor in a hospital who is an expert in a particular medical subject.;B2
effective;Someone or something that is effective works well and produces the result that was intended.;B1
efficient;Someone or something that is efficient works well and produces good results by using the available time money supplies etc in the most effective way.;B1
executive;A senior manager in a business or other organisation.;B2
fire;To make someone leave their job sometimes as a punishment.;B1
headhunt;To try to persuade someone to leave their job and go to work for another company.;C1
leave;A period of time away from your job or the armed forces.;B1
marketing;The ways in which a company encourages people to buy its products by deciding on price type of customer and advertising policy.;B1
multinational;A large company that has offices shops or factories in several countries.;B2
multinational;A multinational company or business has offices shops or factories in several countries.;B2
private sector;All the businesses industries and services that are not owned or managed by the government.;B2
promotion;A move to a higher level in a company institution or sport.;B2
promotion;The activity of encouraging or supporting something.;B2
promotion;The process of attracting people's attention to a product or event for example by advertising.;B2
prospects;The possibility that something will happen especially something good.;B2
public sector;The industries and services for example schools and hospitals that are supported by tax money and controlled by the government of a country.;B2
recruit;A new member of a military force or an organisation especially someone who has recently joined.;B2
recruit;To get someone to work in a company or join an organisation.;B2
recruit;To get someone to help you do something.;B2
redundant;If someone is redundant they have been told they must leave their job because they are no longer needed.;B2
sack;To tell someone they can no longer work at their job.;B1
strike;A period of time during which people refuse to work as a protest about pay or conditions of work.;B1
strike;To refuse to work for a period of time as a protest about your pay or conditions of work.;B1
union;An organisation that represents the workers in a particular industry and tries to improve pay conditions etc.;B2
accelerate;to happen or make something happen at a faster rate.;B2
approach;to move closer to someone or something.;A2
approach;to speak to someone about something for the first time especially in order to ask for help or make an offer.;B2
approach;a particular way of thinking about or dealing with something.;B2
approach;the fact of coming closer in time or in distance.;B2
ascend;to climb a mountain stairs etc.;B2
bounce;if a ball or other object bounces or if you bounce it it hits a surface then immediately moves away from it.;A2
clamber;to climb something with difficulty using your hands and feet.;C1
clench;if you clench a part of your body such as your hand or your mouth or if it clenches you close it tightly especially because you are angry or upset.;B2
clutch;to hold someone or something firmly for example because you are afraid or in pain or do not want to lose them.;B2
crawl;to move along the ground on your hands and knees or with your body close to the ground.;A2
creep;if someone creeps somewhere they move there quietly and slowly.;B2
dash;to run or go somewhere very quickly because you are in a hurry.;B1
descend;to go down a mountain or slope or to go downstairs.;B2
drift;to be pushed along very slowly by the movement of air or water.;B2
drift;a slow and gradual change from one situation or opinion to another.;C1
drift;the meaning that someone is trying to express.;C1
emigrate;to leave your country in order to live in another country on a permanent basis.;B2
float;to rest or move slowly on the surface of a liquid and not sink.;A2
flow;if a liquid flows it moves smoothly and continuously in one direction.;A2
flow;the continuous movement of a liquid in one direction.;B1
fumble;to try to hold move or find something using your hands in a way that is not skilful or graceful.;C1
gesture;to make a movement with your hands or head in order to show or tell someone something.;B2
gesture;a movement that communicates a feeling or instruction.;B2
glide;to move in a smooth and easy way with no noise.;B2
grab;to take hold of something in a rough or rude way.;B1
grasp;to take and hold something or someone very tightly.;B2
hop;to move forward by jumping on one foot.;A2
hop;a quick jump on one foot.;A2
immigrant;someone who comes to live in a country from another country.;B1
jog;to run at a slow steady speed usually for exercise or pleasure.;A2
jog;a run for exercise or pleasure at a slow steady speed.;A2
leap;to jump over something.;B2
leap;a jump especially a long or high one.;B2
march;if soldiers march they walk in a group with each person matching the speed and movements of the others.;B1
march;a walk by a group of soldiers in which each person matches the speed and movements of the others.;B1
migrate;if a bird or animal migrates it travels to another part of the world for warmer weather at a particular time of the year.;B2
point;to show something by holding out your finger or a long thin object.;A2
punch;to hit someone or something with your fist usually as hard as you can.;B1
refugee;someone who leaves their country especially during a war or other threatening event.;B2
roam;to move or travel with no particular purpose.;C1
roll;to move forward while turning over and over.;A2
rotate;to move in a circle around a fixed central point or to move something in this way.;B2
route;the roads or paths that you use when you go from one place to another.;A2
sink;to disappear below the surface of the water.;A2
skid;to slide across the ground in an uncontrolled way.;C1
skid;a sudden uncontrolled slide across the ground especially by a vehicle.;C1
skip;to move forwards by jumping first on one foot and then the other.;A2
slide;to move smoothly and quickly across a surface.;A2
slide;a structure that children play on by climbing up steps and sliding down a slope on the other side.;A2
slip;if you slip your feet slide accidentally and you lose your balance or fall over.;A2
step;to move by putting one foot down in front of the other.;A2
step;a short movement made by putting one foot in front of the other.;A2
step;one of a series of actions you do in order to achieve a particular aim.;A2
stride;to walk with energy and confidence.;B2
stride;a long confident step.;B2
trip;to hit your foot on something and fall down.;A2
velocity;the speed that something moves at in one direction.;C1
wander;to travel from place to place especially on foot without a particular direction or purpose.;B1
wave;to move your hand to say hello or goodbye or as a signal.;A2
wave;a movement of your hand used for saying hello or goodbye to someone or for giving a signal.;A2
airline;a company that owns aircraft and takes people or goods by plane from one place to another.;A2
cargo;things that are being sent by ship plane train or truck.;B2
carriage;one of the vehicles that are joined together to make a train.;B1
charter;to hire a boat plane or bus especially for use by a group of people.;B2
commute;to travel regularly to and from work.;B2
destination;the place where someone or something is going.;B1
hiker;someone who walks for long distances in the countryside for pleasure.;B1
hitchhiker;someone who travels by asking other people to take them in their car by standing at the side of a road and holding out their thumb or a sign.;B1
jet lag;the feeling of being very tired and sometimes confused because you have travelled quickly on a plane across parts of the world where the time is different.;B1
legroom;the amount of space in front of your seat in which you can stretch your legs.;B1
load;to put a load onto or into something such as a vehicle or container.;B1
load;the goods that a vehicle carries.;B1
passerby;someone who is walking past a place especially when an accident or violent event happens.;B1
pedestrian;someone who is walking especially in a town or city instead of driving or riding.;B1
pier;a structure built out from the land over water and used for getting on and off boats.;B1
pilot;to fly an aircraft.;B2
pilot;someone who flies an aircraft.;A2
quay;a hard surface next to a sea or river where boats can stop.;B1
return fare;the money you pay for a journey to and from a place.;B1
round trip;an occasion when you go somewhere and come back to your starting point again.;B1
steer;to control the direction in which a vehicle moves.;B2
steward;a man whose job is to look after the passengers on a plane train or ship especially serving them with food and drink.;B1
allege;to say that something is true or that someone has done something wrong or illegal even though this has not been proved.;C1
ambiguous;not clear or definite capable of being understood in more than one way.;C1
assert;to state firmly that something is true.;C1
blunt;saying what is true or what you think even if this offends or upsets people.;C1
boast;a statement in which you proudly tell other people what you or someone connected with you has done or can do or about something you own especially in order to make them admire you.;B2
boast;to proudly tell other people about what you or about something you own especially in order to make them admire you.;B2
clarification;an explanation that makes something clearer and easier to understand.;B2
context;the general situation in which something happens which helps explain it.;B2
context;the words surrounding a particular word that help to give it its meaning.;B2
contradict;to say that the opposite of what someone has said is true.;B2
convey;to communicate ideas or feelings indirectly.;B2
convey;to give official information or a formal message to someone.;B2
declare;to announce officially that something is true or happening.;B2
denounce;to criticise someone or something severely in public.;C1
disclose;to give information to people especially information that was secret.;C1
exaggerate;to describe something in a way that makes it seem better worse larger more important etc than it really is.;B1
flatter;to praise someone in order to get something you want especially in a way that is not sincere.;C1
gist;the main idea or most important point of something that someone has written or said.;C1
hint;something that you say to show what you are thinking or feeling without saying it directly.;B2
hint;a useful suggestion or piece of advice.;B2
hint;to say what you are thinking or feeling in an indirect way.;B2
illegible;difficult or impossible to read.;C1
inkling;a slight idea or small piece of information that tells you that something might exist or be happening.;C1
insist;to say very firmly that something must happen or be done.;B1
insist;to keep saying very firmly that something is true even when other people will not believe you.;B1
jargon;special words and phrases that are only understood by people who do the same kind of work.;C1
literal;the literal meaning of a word is its most basic meaning.;B2
mumble;the saying of something in a way that is not loud or clear enough so that your words are difficult to understand.;C1
mumble;to say something in a way that is not loud or clear enough so that your words are difficult to understand.;C1
murmur;something that is said in a very quiet voice.;B2
murmur;a quiet continuous sound.;B2
murmur;to say something in a very quiet voice.;B2
petition;a document signed by many people that asks someone in authority to do something.;B2
placard;a large notice in a public place used for advertising something or carried in order to protest against or support something.;C1
quibble;to argue or complain about things that are not important.;C1
rant;a long loud and angry complaint about something.;C1
rant;to complain or talk loudly and angrily for a long time sometimes saying unreasonable things.;C1
rave;to talk in an angry and uncontrolled way.;C1
rave;to speak or write in a very enthusiastic way about something or someone.;C1
relevant;important and directly connected to what is being discussed or considered.;B1
scribble;untidy writing or something written in an untidy way.;B2
scribble;to write something quickly and carelessly.;B2
scribble;to make marks or drawings with no meaning.;B2
slang;slang words or expressions are very informal and are not considered suitable for more formal situations.;B2
slang;words or expressions that are very informal and are not considered suitable for more formal situations.;B2
stumble;a mistake while speaking.;B2
stumble;to make a mistake when you are speaking.;B2
stutter;a problem in speaking that causes you to repeat some particular sounds more than you should.;B2
stutter;to repeat the sounds of words in an uncontrolled way when you speak because you are nervous or have a speech problem.;B2
tip;a useful suggestion.;A2
utter;to say something.;B2
utter;to make a sound.;B2
vague;not clear or complete.;B2
anchor;someone who presents the news on a television or radio news programme.;B2
anchor;to present a television or radio programme especially the news.;B2
broadcast;a programme that is broadcast.;B1
broadcast;to send out messages or programmes to be received by radios or televisions.;B1
broadcast;to tell people something especially something that you wanted to be a secret.;B1
caption;words printed near or on a picture that explain something about the picture.;B2
columnist;a journalist who writes a regular series of articles for a particular newspaper or magazine.;B2
correspondent;a newspaper or television reporter especially one who deals with a particular subject or area.;B2
coverage;news about something on television or radio or in the newspapers sometimes used about the amount of attention that television radio and newspapers give to something or the way in which something is reported.;B2
coverage;information about a range of things for example in a book or course of education.;B2
critic;someone who does not like something and states their opinion about it.;B2
critic;someone whose job is to write or broadcast their opinions about things such as books films or plays.;B2
footnote;a note at the bottom of a page that gives more detailed information about something on the page.;B2
ghostwriter;someone who writes something for someone else whose name will appear on it as the writer.;C1
handbook;a small book that gives information about a subject or instructions about how to use something.;B1
manifesto;a formal statement expressing the aims and plans of a group or organisation especially a political party.;C1
novelist;someone who writes novels.;B1
pamphlet;a very thin book with a paper cover usually given free to people.;B1
prerecorded;prerecorded messages music television or radio programmes have been recorded so that they can be used later.;B2
reviewer;someone whose job is to write articles in a newspaper or magazine giving their opinion about a new play book art exhibition etc.;B2
spine;the edge of a book where all the pages are fixed together.;B1
subtitles;a translation of what people are saying in a foreign language film or television programme that appears at the bottom of the screen.;B2
supplement;a separate part of a newspaper or magazine.;B2
tabloid;relating to newspapers with fairly small pages mostly containing stories about famous people and not much serious news.;B2
tabloid;a newspaper with fairly small pages mostly containing stories about famous people and not much serious news.;B2
trailer;an advertisement for a film or television programme that shows a short part of that film or programme.;B1
approximate;to calculate something in a way that is not exact.;B2
approximate;not exact but close to an exact amount number time etc.;B2
ascribe;to believe something is the cause of something else.;C1
assign;to send someone to a particular place especially in order for them to work there.;B2
attribute;to believe that something is the result of a particular situation event or person's actions.;B2
blow;an event that causes you to feel very sad disappointed or shocked.;B2
cause;to make something happen usually something bad.;A2
cause;an event thing or person that makes something happen.;A2
coincidence;a situation in which separate things happen by chance at the same time or in the same way.;B1
curse;to use magic powers to make bad things happen to someone.;B2
curse;a bad situation or event caused by someone's deliberate use of their magic powers.;B2
deliberate;intended not done by chance or by accident.;B2
determine;to calculate something or discover it by examining evidence.;B2
fate;a power that some people believe controls everything that happens in their lives.;B2
fluctuate;to change frequently.;C1
foresee;to see or know something that will happen in the future.;C1
freak;something with very unusual features that make it very different from other things of its type.;C1
freak;extremely unusual and unexpected.;C1
gamble;to risk money or something valuable in the hope of winning more if you are lucky or if you guess something correctly.;B2
haphazard;done in a way that does not seem to be carefully planned or organised.;C1
hazard;something that could be dangerous or cause damage or accidents.;B2
inadvertent;not deliberate.;C1
instrumental;involved in an important way in making something happen.;C1
jinxed;someone or something that is jinxed has a lot of bad luck.;C1
likelihood;how certain it is that something will happen.;B2
lucky charm;something that people believe brings them luck.;B1
meander;to move slowly without a particular direction or purpose in mind.;C1
mishap;a minor mistake or accident.;C1
mutate;to become physically different from other plants or animals of the same type as a result of a genetic change.;C1
odds;the chances of something happening.;B2
pick;to choose someone or something from a group.;A2
pick;your choice.;A2
pot luck;a situation in which you do not know what to expect but you hope that it will be good.;C1
random;chosen or happening without any particular method pattern or purpose.;B2
sign;a piece of evidence that something is happening or that something exists.;A2
spontaneous;happening in a natural way without being planned or thought about.;B2
startle;to make a person or animal feel suddenly frightened or surprised by doing something they do not expect.;B2
statistics;a group of numbers that represent facts or describe a situation.;B2
stray;to move away from the correct place or path.;B2
stray;lost or without a home.;B2
stray;a pet that is lost or has left its home.;B2
superstition;a belief that things such as magic or luck have the power to affect your life.;B2
superstitious;believing in the power of magic or luck.;B2
transpire;to happen.;C1
uncertainty;the fact that something is not known or has not been decided.;B2
wobble;to rock slightly from side to side or to make something do this.;C1
agriculture;the work business or study of farming.;B1
appreciate;to understand the true nature of a situation and realise why it is important or serious.;B2
appreciate;to be grateful for something.;B1
catastrophe;an event that causes a lot of damage or makes a lot of people suffer.;B2
crop;a plant grown for food usually on a farm.;A2
drought;a long period of time when there is little or no rain and crops die.;B2
evacuate;to leave a building or other place because it is not safe.;B2
exploit;to use natural resources such as trees water or oil so that you gain as much as possible.;B2
exploit;to treat someone unfairly in order to get some benefit for yourself.;B2
famine;a serious lack of food that continues for a long time and causes many people in a country to become ill or die.;B2
flood;if water floods a place it covers it.;A2
flood;a large amount of water that covers an area that was dry before.;A2
fossil fuels;fuels such as coal or oil made from decayed material from animals or plants that lived many thousands of years ago.;B2
global warming;an increase in the average temperature of the Earth.;B1
greenery;green plants that are growing somewhere or used as decoration.;B1
habitat;the type of place that an animal normally lives in or a plant normally grows in.;B2
harvest;to collect a crop from the fields.;B1
harvest;the time when a crop is collected.;B1
hurricane;a violent storm with extremely strong winds and heavy rain.;B2
instinct;a natural tendency to behave in a particular way that people and animals are born with and that they obey without knowing why.;B2
natural disaster;something very bad that happens and causes a lot of damage or kills a lot of people.;B1
resource;things such as coal trees and oil that exist in nature and can be used by people.;B2
scarce;if something is scarce there is not very much of it.;B2
species;a plant or animal group whose members all have similar general features and are able to produce young plants or animals together.;B2
abundant;existing or available in large quantities.;C1
ample;enough and often more than you need.;C1
area;a place on the surface of something such as a part of your body.;A2
area;the amount of space that the surface of a place or shape covers.;A2
average;around a usual or ordinary level or standard.;A2
average;not very good.;B1
average;calculated by adding a group of numbers together and dividing the total by the amount of numbers.;B1
average;the amount level standard etc that is typical of a group of people or things.;B1
average;an amount that is calculated by adding several numbers together and dividing the total by the original number of things you added together.;B1
batch;a number of things or people that arrive or are dealt with at the same time.;B2
batch;to group things together.;B2
bulk;something that is very large wide and solid.;B2
bulk;the majority or largest part of something.;B2
bulk;something that is very large wide and solid.;B2
bulk;if something is bought or sold in bulk it is bought or sold in large quantities.;B2
considerable;large in size amount or degree.;B2
countless;very many especially more than you think is reasonable.;B2
dimension;a part of a situation especially when it influences the way you think about the situation.;B2
dimension;length height or width.;B2
diminish;to become less.;B2
diminish;to make something become less.;B2
equation;a statement in mathematics that two sets of numbers or expressions are equal.;B2
equation;all the different aspects that you have to consider in a situation.;C1
equidistant;at the same distance from two places.;C1
expand;to become or make larger in size and fill more space.;B1
extent;the importance of a problem or situation.;B2
extent;the degree to which something happens or is likely to happen.;B2
extent;the size or area of something.;B2
finite;existing only in limited numbers or amounts or continuing only for a limited time or distance.;C1
force;physical strength or violence.;B2
force;the influence or powerful effect that someone has.;B2
force;a power that makes an object move or changes the way it moves.;B2
force;to make someone do something that they do not want to do for example by using or threatening to use violence.;B2
force;to use physical force to move something in a particular direction.;B2
fraction;a small part or amount of something.;B2
fraction;a division or part of a whole number for example 1/2 or 3/4.;B2
heap;a large pile of something especially an untidy pile.;B2
heap;to make a big untidy pile of things.;B2
imbalance;a situation in which the balance between two things is not equal or fair.;C1
immense;extremely large.;B2
intensity;strength.;B2
magnitude;great size importance or effect.;C1
major;important serious large or great.;A2
mass;a large quantity or number.;B2
mass;the amount of physical matter an object contains.;B2
meagre;smaller or less than you want or need.;C1
minor;not very important in comparison with people or things of the same type.;B1
minute;very small.;B2
multiple;involving or consisting of many people things or parts.;B2
multiple;a number that you can divide by a smaller number an exact number of times.;B2
proportion;a quantity of something that is a part or share of the whole.;B2
quantify;to measure or describe something as a quantity.;C1
rate;the number of times something happens or the number of examples of something within a particular period of time.;B2
rate;the speed at which something happens within a particular period of time.;B2
rate;to consider that someone or something has a particular quality or has achieved a particular standard or level.;B2
ratio;a relationship between two things expressed as two numbers or amounts.;B2
ration;a limited amount of something especially food that you are allowed to have for example when there is not much available or when someone else is controlling it.;C1
ration;to control the supply of something such as food so that people are allowed only a fixed amount.;C1
shrink;to become or make something smaller in size.;B2
sufficient;as much as is needed.;B2
sum;an amount of money.;A2
sum;a simple calculation.;A2
uneven;not regular in terms of size length quality or quantity.;B2
vast;extremely large.;B2
volume;an amount of something.;B2
