phrasal verb;definition;Level;Lesson Number;Lesson Name
get into;start enjoying something or become enthusiastic about it;B1;10;Movement & Encounters
get through (to);be connected to a place by telephone;B1;3;Communication & Information
go off;leave a place especially for a particular purpose;B1;11;Travel & Journeys
go together;if two things go together they seem good natural or attractive in combination with each other;B1;9;Clothes & Appearance
hang out;spend time in a particular place or with particular people;B1;1;Relationships & Social Life
heat up;make something hot become hot;B1;12;Food, Cooking & Temperature
keep up;continue to do something;B1;5;Work & Study Skills
keep up;move at the same speed as someone or something;B1;5;Work & Study Skills
key in;put information into a computer or other electronic machine using keys or a keyboard;B1;6;Technology & Computers
knock/pull/tear down;destroy a building or wall;B1;8;DIY & Building
laze around;relax and enjoy yourself doing no work;B1;2;Feelings, Moods & States
lock up;lock all the doors and windows of a building so that no one can get in;B1;7;Home & Living
make up;work at different times from usual because you have not worked enough at the normal times;B1;5;Work & Study Skills
meet up;come together with someone either unexpectedly or as planned;B1;1;Relationships & Social Life
mess about/around;behave in a silly way;B1;2;Feelings, Moods & States
mess about/around;spend time doing things in a relaxed way;B1;2;Feelings, Moods & States
mess up;make a mistake or do something badly;B1;4;Thinking & Problem Solving
mess up;make something dirty or untidy;B1;4;Thinking & Problem Solving
mix up;put things together without any order;B1;4;Thinking & Problem Solving
mix up;think that one person or thing is another person or thing;B1;4;Thinking & Problem Solving
move in (with);start living in a different house or flat (with);B1;7;Home & Living
move on;leave one place and travel to another;B1;11;Travel & Journeys
move out;permanently leave the house or flat where you live or the place where you have your business;B1;7;Home & Living
move over;change your position in order to make space for someone or something;B1;11;Travel & Journeys
open up;open a locked door container or building;B1;7;Home & Living
pass on;give someone something for example a message that someone else has given you;B1;3;Communication & Information
pay back;give someone the same amount of money that you borrowed from them;B1;13;Numbers, Money & Resources
pick up;go and meet someone or something that you have arranged to take somewhere in a vehicle;B1;5;Work & Study Skills
pick up;improve;B1;5;Work & Study Skills
pick up;learn a new skill or start a habit without intending to;B1;5;Work & Study Skills
pull over;stop by the side of the road in a car or other vehicle;B1;11;Travel & Journeys
put in;fix something such as equipment in the place where it will be used and make it ready to use;B1;8;DIY & Building
put together;make something by joining all its parts;B1;8;DIY & Building
put up;let someone stay in your house;B1;7;Home & Living
put up;build something such as a wall fence or house;B1;8;DIY & Building
read up (on/about);get information on a particular subject by reading a lot about it;B1;5;Work & Study Skills
set down;write something on a piece of paper so that it will not be forgotten and can be looked at later;B1;3;Communication & Information
set up;make a piece of equipment ready for use;B1;6;Technology & Computers
set up;build a structure or put it in a particular place;B1;8;DIY & Building
smarten up;if you smarten up or smarten yourself up you make yourself look tidy and clean;B1;9;Clothes & Appearance
smarten up;improve the appearance of something for example by cleaning or painting it;B1;9;Clothes & Appearance
stand out;be easy to see or notice because of being different;B1;9;Clothes & Appearance
step aside;move so that someone can pass you;B1;11;Travel & Journeys
stop off;visit somewhere before continuing to another place;B1;11;Travel & Journeys
switch on/off;start/stop a machine light etc working;B1;6;Technology & Computers
take after;look or behave like an older relative;B1;1;Relationships & Social Life
take away;remove one number or quantity from another number or quantity;B1;13;Numbers, Money & Resources
take down;write down information or a statement;B1;3;Communication & Information
take off;have a particular amount of time away from work;B1;5;Work & Study Skills
take out;take someone to a place like a cinema or a restaurant and usually pay for them;B1;1;Relationships & Social Life
talk over;discuss a problem or a plan;B1;3;Communication & Information
test out;try using something such as a machine or product to find out whether it works correctly or is satisfactory;B1;6;Technology & Computers
think over;consider a problem or decision carefully;B1;4;Thinking & Problem Solving
throw out;get rid of something that you no longer want for example by putting it in a dustbin;B1;7;Home & Living
tip up;turn a container upside down so that the things inside it come out;B1;13;Numbers, Money & Resources
turn into;change or develop into something different;B1;2;Feelings, Moods & States
turn into;make someone or something change or develop into something different;B1;2;Feelings, Moods & States
use up;use all of a supply of something;B1;13;Numbers, Money & Resources
warm up;prepare for a sport or activity by doing gentle exercises or practising just before it starts;B1;12;Food, Cooking & Temperature
water down;add water to a drink or liquid in order to make it less strong dilute;B1;12;Food, Cooking & Temperature
wear out;use something a lot so that it no longer works or can no longer be used;B1;9;Clothes & Appearance
wind down;relax after a period of excitement or worry;B1;2;Feelings, Moods & States
