word;meaning;Level
magnitude;great size importance or effect.;C1
meagre;smaller or less than you want or need.;C1
quantify;to measure or describe something as a quantity.;C1
ration;a limited amount of something especially food that you are allowed to have for example when there is not much available or when someone else is controlling it.;C1
ration;to control the supply of something such as food so that people are allowed only a fixed amount.;C1
speculate;to take the risk of investing your money in a company in the hope that you can make a big profit later by selling the shares you buy.;C1
lump;to put people or things into the same group although they do not really belong together.;C1
speck;a very small spot or mark.;C1
bypass;to avoid the centre of a town or city by using a road that goes round it.;C1
bypass;a road that goes round a town or city so that you can avoid going through its centre.;C1
dwell;to live somewhere.;C1
evict;to legally force someone to leave the house they are living in usually because they have not paid their rent.;C1
infrastructure;the set of systems within a place or organisation that affect how well it operates for example the telephone and transport systems in a country.;C1
agonise;to spend a long time worrying and being upset about something.;C1
apathy;a feeling of having no interest in or enthusiasm about anything or of not being willing to make any effort to change things.;C1
contentment;the happiness you feel when you have everything you want and you enjoy your life.;C1
disillusioned;disappointed because you have discovered that someone or something is not as good as you had believed.;C1
gloat;to show that you are happy and proud at your own success or at someone else's failure.;C1
glum;looking sad as if you expect something bad to happen.;C1
grimace;an ugly expression that you make by twisting your face for example because you are in pain or do not like something.;C1
grimace;to make an ugly expression by twisting your face for example because you are in pain or do not like something.;C1
inertia;a situation in which something does not change for a long time.;C1
manoeuvre;an action or movement that you need care or skill to do.;C1
manoeuvre;to move someone or something in a situation that needs care or skill.;C1
neglect;the failure to give someone or something the care or attention they need.;C1
neglect;to fail to look after someone when you are responsible for them.;C1
rejoice;to feel very happy about something or to celebrate something in a happy way.;C1
resent;to feel bitter or angry about something especially because you think it is not fair.;C1
resolute;showing determination and purpose.;C1
smirk;an unpleasant smile that shows satisfaction with your own success or pleasure at someone else's misfortune.;C1
smirk;to smile in an unpleasant way because you are pleased with yourself or are going to do something bad.;C1
snap;to suddenly lose control and become extremely angry or upset because a situation has become too annoying or difficult.;C1
snap;to speak to someone in a sudden angry way.;C1
administer;to give someone a drug or medical treatment.;C1
antidote;a substance that prevents a poison from having bad effects.;C1
inoculate;to protect someone against a particular disease by injecting a medicine containing a small amount of the disease into them so that their body becomes immune to it.;C1
numb;not able to react or to show your emotions often because of an extreme shock.;C1
paralysis;the loss of the ability to move your body or a part of it usually because of an injury or illness.;C1
preventive medicine;medical examinations treatments advice etc intended to prevent illness or discover it before it becomes serious.;C1
prognosis;a doctor's opinion about the way in which a disease or illness is likely to develop.;C1
benign;kind and nice.;C1
consent;to give approval for something.;C1
consent;permission to do something.;C1
controversy;A disagreement especially about a public policy or a moral issue that a lot of people have strong feelings about;C1
dictator;Someone who uses force to take and keep power in a country;C1
enforce;To make sure that a law or rule is obeyed by people;C1
exempt;Allowed to ignore something such as a rule obligation or payment;C1
impose;To introduce something such as a new law or new system and force people to accept it;C1
intimidate;To deliberately make someone feel frightened especially so that they will do what you want;C1
liberate;To give someone the freedom to do what they want for example by taking them out of a situation in which their behaviour is controlled;C1
mainstream;Ideas methods or people that are considered ordinary or normal and accepted by most people;C1
mainstream;Considered ordinary or normal and accepted or used by most people;C1
prohibit;To officially stop something from being done especially by making it illegal;C1
subject;to make someone experience something unpleasant;C1
subject;someone who lives in a country that is controlled by a king or queen;C1
subjective;based on your own feelings and ideas and not on facts;C1
submit;to accept that someone has defeated you or has power over you;C1
summon;to officially order someone to come to a place especially a court of law;C1
undermine;to make something or someone become gradually less effective confident or successful;C1
unrest;angry or violent behaviour by people who are protesting against something;C1
victimise;to treat someone in a deliberately unfair way;C1
vulnerable;someone who is vulnerable is weak or easy to hurt physically or mentally;C1
abolish;to officially get rid of a law system practice etc;C1
advocate;to publicly support a particular policy or way of doing things;C1
alleviate;to make something less painful severe or serious;C1
bureaucracy;a complicated and annoying system of rules and processes;C1
corruption;dishonest or illegal behaviour by officials or people in positions of power especially when they accept money in exchange for doing things for someone;C1
deterrent;something that makes people decide not to do something by making them realise that something unpleasant could happen to them;C1
industrial action;a protest in which workers show that they disagree with a policy of their employer for example by striking;C1
legislation;a law or set of laws;C1
prison reform;changes intended to make the prison system fairer or more effective;C1
privileged;having advantages and opportunities that other people do not have because you have a lot of money or high social status;C1
prosecute;to officially accuse someone of a crime and ask a court of law to judge them;C1
aggravate;to make something bad become worse especially a situation or a medical condition;C1
blemish;a mark or spot that spoils the appearance of something;C1
chaos;a situation in which everything is confused and in a mess;C1
cheapen;to make someone or something seem less valuable or respected;C1
contaminate;to make something dirty polluted or poisonous by adding a chemical waste or infection;C1
defective;not made correctly or not working correctly;C1
detrimental;harmful or damaging;C1
devastate;to seriously damage or completely destroy something;C1
devastate;to make someone feel very shocked and upset;C1
exacerbate;to make a problem become worse;C1
exquisite;extremely beautiful and delicate;C1
first-rate;of the highest quality;C1
invaluable;extremely useful;C1
optimum;best or most suitable within a range of possibilities;C1
optimum;the best or most suitable situation level or amount;C1
outclass;to be much better than someone or something else;C1
redeeming feature;a positive quality which improves something that is not very good by including something that is good;C1
refurbish;to improve a room or a building by cleaning and painting it adding new furniture or equipment;C1
renovate;to make something old look new again by repairing and improving it especially a building;C1
shambles;something that is very badly organised and does not operate effectively;C1
shoddy;shoddy work services or products are of a very low standard;C1
sound;involving the use of good judgment and therefore likely to be effective;C1
sound;thorough;C1
streamline;to improve a business organization process etc by making it more modern or simple;C1
surpass;to be better or greater than something else or better than what was expected or hoped for;C1
wreck;something that has been badly damaged;C1
wreck;to severely damage;C1
curator;someone whose job is to look after the objects in a museum;C1
installation;a piece of art that consists of several different objects or pictures arranged to produce a particular effect;C1
priceless;very valuable and impossible to replace;C1
retrospective;relating to or considering things that happened in the past;C1
retrospective;an exhibition that includes examples of a particular artist's work from their whole career;C1
adjacent;next to or near something else;C1
coexist;to live or exist at the same time or in the same place;C1
coherent;a coherent statement is reasonable and sensible;C1
compatible;likely to have a good relationship because of being similar;C1
comprise;to consist of two or more things;C1
conflict;if different ideas or opinions conflict they cannot all be right or cannot all happen;C1
confront;to go close to someone in a threatening way;C1
correspond;to be the same as something else or very much like it;C1
dispute;to say that something such as a fact is not true or correct;C1
integral;forming an essential part of something and needed to make it complete;C1
integrate;to make someone become a full member of a group or society and be involved completely in its activities;C1
intervene;to become involved in a situation in order to try to stop or change it;C1
liken;to say that someone or something is similar to someone or something else;C1
merge;if two organisations merge or you merge them they combine to form one bigger organisation;C1
negotiate;to try to reach an agreement by discussing something in a formal way especially in a business or political situation;C1
dependant;a child or other relative to whom you give food money and a home;C1
empathise;to understand how someone feels because you can imagine what it is like to be them;C1
introvert;someone who tends to concentrate on their own thoughts and feelings rather than communicating with other people;C1
predecessor;the person who had a job or official position before someone else;C1
successor;someone who has a position after someone else;C1
sympathise;to behave in a kind way and show that you understand someone's problems;C1
arbitrary;not based on any particular plan or done for any particular reason;C1
aspiration;something that you want to achieve or the wish to achieve something;C1
craving;a very strong feeling of wanting something;C1
differentiate;to see or show a difference between things;C1
mediocre;average or below average in quality;C1
mundane;ordinary and not interesting or exciting especially because it happens too regularly;C1
resolve;to make a formal decision usually after a discussion and a vote at a meeting;C1
strive;to make a lot of effort to achieve something;C1
indulge;to allow yourself to have or do something that you enjoy;C1
urge;to advise someone very strongly about what action or attitude they should take;C1
urge;a strong feeling of wanting or needing to do something;C1
yearn;to want something a lot especially something that you know you may not be able to have;C1
absorbing;something absorbing is so entertaining that you give it all your attention;C1
exhilarating;making you feel extremely happy excited and full of energy;C1
fatigue;a feeling of being extremely tired either physically or mentally;C1
tedious;boring and continuing for too long;C1
