word;meaning;Level
hitchhiker;someone who travels by asking other people to take them in their car by standing at the side of a road and holding out their thumb or a sign.;B1
jet lag;the feeling of being very tired and sometimes confused because you have travelled quickly on a plane across parts of the world where the time is different.;B1
legroom;the amount of space in front of your seat in which you can stretch your legs.;B1
load;to put a load onto or into something such as a vehicle or container.;B1
load;the goods that a vehicle carries.;B1
passerby;someone who is walking past a place especially when an accident or violent event happens.;B1
pedestrian;someone who is walking especially in a town or city instead of driving or riding.;B1
pier;a structure built out from the land over water and used for getting on and off boats.;B1
quay;a hard surface next to a sea or river where boats can stop.;B1
return fare;the money you pay for a journey to and from a place.;B1
round trip;an occasion when you go somewhere and come back to your starting point again.;B1
steward;a man whose job is to look after the passengers on a plane train or ship especially serving them with food and drink.;B1
exaggerate;to describe something in a way that makes it seem better worse larger more important etc than it really is.;B1
insist;to say very firmly that something must happen or be done.;B1
insist;to keep saying very firmly that something is true even when other people will not believe you.;B1
relevant;important and directly connected to what is being discussed or considered.;B1
broadcast;a programme that is broadcast.;B1
broadcast;to send out messages or programmes to be received by radios or televisions.;B1
broadcast;to tell people something especially something that you wanted to be a secret.;B1
handbook;a small book that gives information about a subject or instructions about how to use something.;B1
novelist;someone who writes novels.;B1
pamphlet;a very thin book with a paper cover usually given free to people.;B1
spine;the edge of a book where all the pages are fixed together.;B1
trailer;an advertisement for a film or television programme that shows a short part of that film or programme.;B1
coincidence;a situation in which separate things happen by chance at the same time or in the same way.;B1
lucky charm;something that people believe brings them luck.;B1
agriculture;the work business or study of farming.;B1
appreciate;to be grateful for something.;B1
global warming;an increase in the average temperature of the Earth.;B1
greenery;green plants that are growing somewhere or used as decoration.;B1
harvest;to collect a crop from the fields.;B1
harvest;the time when a crop is collected.;B1
natural disaster;something very bad that happens and causes a lot of damage or kills a lot of people.;B1
average;not very good.;B1
average;calculated by adding a group of numbers together and dividing the total by the amount of numbers.;B1
average;the amount level standard etc that is typical of a group of people or things.;B1
average;an amount that is calculated by adding several numbers together and dividing the total by the original number of things you added together.;B1
expand;to become or make larger in size and fill more space.;B1
minor;not very important in comparison with people or things of the same type.;B1
benefit;money or other help that the government gives people who need financial help for example because they do not have a job.;B1
benefit;to get help or an advantage from something.;B1
debt;an amount of money that you owe.;B1
deposit;an amount of money that you pay into a bank account.;B1
deposit;to pay money into a bank account.;B1
direct debit;an order to a bank to regularly pay money from your account to a person or organisation.;B1
insurance;an arrangement in which you regularly pay an insurance company or other organisation an amount of money so that they will give you money if something you own is damaged lost or stolen or if you die or are ill or injured.;B1
interest;money that a person or institution such as a bank charges you for lending you money.;B1
mortgage;a legal agreement in which you borrow money from a bank in order to buy a house.;B1
pension;an amount of money that someone who no longer works because of their age or an illness etc is paid regularly either by a company they once worked for or by the government.;B1
share;one of the equal parts of a company that you can buy as a way of investing money.;B1
withdraw;to take money from a bank account.;B1
pat;to touch someone gently several times with a flat hand to show that you care about them or want to make them feel better.;B1
pat;the action of gently touching someone or something several times with a flat hand.;B1
polish;to rub the surface of something in order to make it shine.;B1
polish;a chemical substance that you rub onto an object to make it shine.;B1
scratch;to pull your nails along your skin especially because you have an itch that makes you want to do this.;B1
scratch;to damage a surface by marking it with something sharp or rough.;B1
scratch;a thin mark on a surface.;B1
smash;to break something noisily into many pieces by dropping or hitting it with a lot of force.;B1
squeeze;to press something firmly especially with your hands.;B1
squeeze;the action of squeezing something.;B1
stroke;to gently move your hand over skin hair or fur.;B1
stroke;a gentle movement of your hand across skin hair or fur.;B1
stuff;to push something soft into a space or container.;B1
high-rise;a high-rise building is very tall with many floors or levels.;B1
occupy;if someone occupies a room building area of land seat bed or other place during a period of time they use it.;B1
skyscraper;a very tall building containing offices or flats.;B1
surroundings;all the things that are present in a place and that form the experience of being there.;B1
comfort;a physically relaxed state without any pain or other unpleasant feelings.;B1
comfort;a feeling of being less sad or worried about something than you were previously.;B1
comfort;a pleasant way of life in which you have everything you need.;B1
comfort;to make someone feel less sad worried or disappointed.;B1
consequence;a result or effect of something.;B1
cross;angry.;B1
fed up;annoyed or bored with something that you feel you have accepted for too long.;B1
glance;a quick look at someone or something.;B1
glance;to look somewhere quickly and then look away.;B1
impatient;annoyed because something is not happening as quickly as you want or in the way you want.;B1
admit;to take someone into hospital for medical treatment.;B1
nursing home;an institution where old people live when they are too old or ill to look after themselves without help.;B1
plaster;a thin piece of cloth or plastic that is sticky on one side and that you put on your skin to cover a cut.;B1
plaster;if a part of someone's body is in plaster it has a hard cover around it to protect a broken bone.;B1
sick leave;a period of time during which you do not work because you are ill.;B1
syringe;a needle fitted to a plastic tube used for taking blood from your body or for putting medicine or drugs into it.;B1
ward;a large room in a hospital with beds for people to stay in.;B1
former;Used for describing someone or something that had a particular job title status etc in the past but not now;B1
charity;an organisation to which you give money so that it can give money and help to people who are poor or ill or who need advice and support;B1
class;one of the groups into which people in a society are divided according to their family background education job or income;B1
community;the people who live in an area;B1
auction;a public occasion when things are sold to the people who offer the most money for them;B1
bestseller;a book that many people buy;B1
lyrics;the words of a song;B1
paperback;a book with a cover made of thick paper;B1
sketch;a drawing made quickly that does not have many details;B1
sketch;to draw a picture quickly and with few details;B1
attach;to fasten or join one thing to another;B1
cooperate;to work with other people to achieve a result that is good for everyone involved;B1
identify;to recognise someone and be able to say who they are;B1
involve;to include something as a necessary part of an activity event or situation;B1
related;if two or more things are related there is a connection between them;B1
citizen;someone who has the right to live permanently in a particular country and has the right to the legal and social benefits of that country as well as legal obligations towards it;B1
stepmother;someone's stepmother/son/etc is their mother/son/etc because of a second marriage not because of a biological connection;B1
bear;if you cannot bear something you cannot accept or do it because it makes you very unhappy;B1
praise;to express strong approval or admiration for someone or something especially in public;B1
praise;an expression of strong approval or admiration;B1
lifestyle;the type of life you have for example the type of job or house you have or the type of activity you like doing;B1
casual;relaxed and informal;B1
