word;meaning;Level
exploit;to treat someone unfairly in order to get some benefit for yourself.;B2
famine;a serious lack of food that continues for a long time and causes many people in a country to become ill or die.;B2
fossil fuels;fuels such as coal or oil made from decayed material from animals or plants that lived many thousands of years ago.;B2
habitat;the type of place that an animal normally lives in or a plant normally grows in.;B2
hurricane;a violent storm with extremely strong winds and heavy rain.;B2
instinct;a natural tendency to behave in a particular way that people and animals are born with and that they obey without knowing why.;B2
resource;things such as coal trees and oil that exist in nature and can be used by people.;B2
scarce;if something is scarce there is not very much of it.;B2
species;a plant or animal group whose members all have similar general features and are able to produce young plants or animals together.;B2
batch;a number of things or people that arrive or are dealt with at the same time.;B2
batch;to group things together.;B2
bulk;something that is very large wide and solid.;B2
bulk;the majority or largest part of something.;B2
bulk;something that is very large wide and solid.;B2
bulk;if something is bought or sold in bulk it is bought or sold in large quantities.;B2
considerable;large in size amount or degree.;B2
countless;very many especially more than you think is reasonable.;B2
dimension;a part of a situation especially when it influences the way you think about the situation.;B2
dimension;length height or width.;B2
diminish;to become less.;B2
diminish;to make something become less.;B2
equation;a statement in mathematics that two sets of numbers or expressions are equal.;B2
extent;the importance of a problem or situation.;B2
extent;the degree to which something happens or is likely to happen.;B2
extent;the size or area of something.;B2
force;physical strength or violence.;B2
force;the influence or powerful effect that someone has.;B2
force;a power that makes an object move or changes the way it moves.;B2
force;to make someone do something that they do not want to do for example by using or threatening to use violence.;B2
force;to use physical force to move something in a particular direction.;B2
fraction;a small part or amount of something.;B2
fraction;a division or part of a whole number for example 1/2 or 3/4.;B2
heap;a large pile of something especially an untidy pile.;B2
heap;to make a big untidy pile of things.;B2
immense;extremely large.;B2
intensity;strength.;B2
mass;a large quantity or number.;B2
mass;the amount of physical matter an object contains.;B2
minute;very small.;B2
multiple;involving or consisting of many people things or parts.;B2
multiple;a number that you can divide by a smaller number an exact number of times.;B2
proportion;a quantity of something that is a part or share of the whole.;B2
rate;the number of times something happens or the number of examples of something within a particular period of time.;B2
rate;the speed at which something happens within a particular period of time.;B2
rate;to consider that someone or something has a particular quality or has achieved a particular standard or level.;B2
ratio;a relationship between two things expressed as two numbers or amounts.;B2
shrink;to become or make something smaller in size.;B2
sufficient;as much as is needed.;B2
uneven;not regular in terms of size length quality or quantity.;B2
vast;extremely large.;B2
volume;an amount of something.;B2
volume;the amount of space something takes or can be filled with.;B2
widespread;happening or existing in many places or affecting many people.;B2
compensation;money that someone receives because something bad has happened to them.;B2
damages;money that a court orders you to pay someone because you have harmed them or their property.;B2
deduct;to take an amount or number from a total.;B2
deposit;a first payment that you make when you agree to buy or rent something expensive such as a car or house.;B2
dividend;a share of the profits of a company paid once or twice a year to the people who own the company's shares.;B2
down payment;a first payment that you make when you are buying something and are going to pay the rest later.;B2
finance;decisions on how money is spent or invested.;B2
finance;money that is used to pay for something such as a large project.;B2
finance;to pay for something such as a large project.;B2
investment;money used in a way that may earn you more money for example money used for buying property or shares in a company.;B2
investment;the process of spending money in order to improve something or make it more successful.;B2
lump sum;money in a single large payment rather than small separate payments.;B2
overdraft;an agreement with your bank that allows you to spend money when you have no money left in your account.;B2
brittle;a brittle substance or object is hard and can easily break into pieces.;B2
chip;if something hard chips or you chip it a small piece of it breaks off.;B2
chip;a small piece of something such as wood or glass especially when it has broken off something.;B2
compact;to make something smaller or firmer by pressing it or to become smaller or firmer like this.;B2
compact;smaller than most things of the same kind.;B2
concentrate;make a solution of something in water stronger.;B2
crack;to damage something so that a line or long narrow hole appears on its surface but it does not break into pieces.;B2
crack;a line on a surface where something is beginning to break apart.;B2
crumb;a very small piece that falls off a dry food such as bread or cake.;B2
crush;to hit or press something so hard that you damage it severely or destroy it especially by making its shape flatter.;B2
crush;a crowd of people all extremely close together in an area that is too small for them.;B2
dense;a dense substance is very heavy in relation to its size.;B2
dilute;to make a liquid less strong by adding water or another liquid.;B2
dilute;a dilute liquid has been mixed with another liquid to make it less strong.;B2
dissolve;if a solid substance dissolves in a liquid it is mixed into the liquid so that it becomes included in it.;B2
firm;solid but not hard.;B2
flake;to come off a surface in small flat pieces.;B2
flake;a small flat piece of something.;B2
fragile;easy to break or damage.;B2
friction;the physical force that makes it difficult for one surface to move over another.;B2
grain;a very small individual piece of a substance such as sand salt or sugar.;B2
gravity;the force that makes something fall to the ground.;B2
grind;to break something into very small pieces or powder by using a machine or by crushing it between two hard surfaces.;B2
hollow;empty inside.;B2
liquid;in the form of a liquid.;B2
lump;a solid piece of something that does not have a regular shape.;B2
mineral;a natural substance in the earth for example coal salt gold or diamonds.;B2
mould;to give something a particular shape or form.;B2
mould;a shaped container into which you pour a liquid that then becomes solid in the shape of the container.;B2
opaque;opaque glass liquid etc is difficult to see through.;B2
scrub;to wash or clean something by rubbing it hard especially with a brush.;B2
scrub;a thorough wash or clean.;B2
squash;to damage something by pressing or crushing it and making it lose its normal shape.;B2
squash;a situation in which there are too many people in a small space.;B2
stack;to arrange things so that they stand one on top of another.;B2
stack;a pile of things placed one on top of another.;B2
stiff;firm and difficult to bend.;B2
substance;a particular type of liquid solid or gas.;B2
synthetic;made from artificial materials or substances not from natural ones.;B2
texture;the way something feels when you touch it.;B2
transparent;a transparent object or substance is clear or thin enough for you to see things through.;B2
built-up;a built-up area has a lot of buildings in it.;B2
construct;to build something large or complicated such as a bridge or road.;B2
demolish;to deliberately destroy a building.;B2
estate;an area where there are many houses usually built at the same time by the same company.;B2
housing;buildings for people to live in.;B2
inner city;an area near the centre of a large city where a lot of poverty and other social problems exist.;B2
populated;a populated area has people living there.;B2
skyline;the shapes made by buildings or mountains when you see them against the sky.;B2
structure;something large such as a building or a bridge that is built from different parts.;B2
suburban;relating to an area or town near a large city but away from its centre where there are many houses especially for middle-class people.;B2
urban;relating to towns and cities or happening there.;B2
acknowledge;to accept or admit that something exists is true or is real.;B2
acknowledge;to thank someone for something they have done or given you especially in writing or by saying it publicly.;B2
acknowledge;to show that you have seen someone or that you recognise them for example by smiling or speaking to them.;B2
chuckle;a quiet laugh.;B2
chuckle;to laugh quietly especially in a private or secret way.;B2
conduct;the way someone behaves especially in relation to particular rules or accepted ways of behaving.;B2
conduct;to do something in an organised way.;B2
dignity;the impressive behaviour of someone who controls their emotions in a difficult situation.;B2
disgust;a very strong feeling of not liking something.;B2
disgust;if something disgusts you it is so bad or immoral that it makes you angry and upset.;B2
giggle;a high laugh especially a nervous or silly one.;B2
giggle;to laugh in a nervous excited or silly way that is difficult to control.;B2
glimpse;an occasion when you see someone or something for a moment only.;B2
glimpse;to see someone or something for a moment or not completely.;B2
grin;a big smile that shows your teeth.;B2
grin;to smile showing your teeth.;B2
handle;to take action to deal with a difficult situation.;B2
manners;traditionally accepted ways of behaving that show a polite respect for other people.;B2
moan;an annoying complaint especially about something that is not important.;B2
moan;a long low sound you make because of pain sadness or pleasure.;B2
moan;to complain about something in an annoying way.;B2
moan;if someone moans they make a long low sound because of pain sadness or pleasure.;B2
mock;to laugh at someone or something in a way that is not kind.;B2
peep;a quick look at something.;B2
peep;to look at something quickly and secretly usually from a place where you think you cannot be seen.;B2
peer;to look at something carefully because you are not certain what you might see.;B2
tactic;a particular method or plan for achieving something.;B2
terror;a strong feeling of fear.;B2
terror;violence used for making people very frightened in order to achieve political aims.;B2
agony;great pain.;B2
agony;a strong and unpleasant feeling especially great worry or sadness.;B2
consultant;A senior doctor in a hospital who is an expert in a particular medical subject.;B2
diagnosis;a statement about what disease someone has based on examining them.;B2
irritation;a painful feeling in a part of the body often with red skin or swelling.;B2
numb;a part of your body that is numb has no feeling.;B2
prescribe;if a doctor prescribes a drug or treatment they say you should have it.;B2
side effect;an effect of a medicine that is not intended and could be unpleasant.;B2
vaccine;a substance put into the body usually by injection in order to provide protection against a disease.;B2
aggression;an angry feeling that makes you want to attack or defeat someone else.;B2
authority;the power to make decisions or tell people what to do.;B2
bully;to frighten or hurt someone who is smaller or weaker than you.;B2
bully;someone who frightens or hurts someone who is smaller or weaker than they are.;B2
command;to officially order someone to do something.;B2
command;an official order.;B2
conquer;to take control of land or people using soldiers.;B2
conquer;to gain control of a situation or emotion by making a great physical or mental effort.;B2
dominate;To control something or someone often in a negative way because you have more power or influence;B2
eliminate;To get rid of something that is not wanted or needed;B2
entitled;Having the right to do something;B2
inferior;Not as good as something else;B2
label;To use a word or phrase to describe someone or something especially one that is not completely fair or true;B2
label;A word or phrase that is used to describe someone or something especially one that is not completely fair or true;B2
master;To learn something thoroughly so that you know it or can do it very well;B2
master;A man who has control over servants or other people who work for him;B2
minister;An official in charge of a government department in the UK and other countries;B2
monarch;A king or queen;B2
reign;If a king or queen reigns they officially rule a country;B2
reign;The period of time when a king or queen rules a country;B2
reinforce;To make an idea belief or feeling stronger;B2
reluctant;not willing to do something;B2
resist;to oppose or fight against someone or something;B2
resist;to stop yourself from doing something that you would very much like to do;B2
restrict;to keep something within strict limits;B2
superior;better than someone or something else in quality or skill;B2
convict;to prove in a court of law that someone is guilty of a crime;B2
convict;someone who is in prison because they have committed a crime;B2
heritage;the art buildings traditions and beliefs that a society considers important to its history and culture;B2
immigration;the process in which people enter a country in order to live there permanently;B2
institution;a large organisation such as a bank hospital university or prison;B2
prejudice;an unreasonable opinion or feeling especially the feeling of not liking a particular group of people;B2
state;the government of a country;B2
better;to achieve a better result than someone or something;B2
better;to improve something;B2
decay;to make or become gradually worse in quality or weaker in power or influence;B2
decline;to become less or worse;B2
enhance;to improve something or make it more attractive or more valuable;B2
evaluate;to think carefully about something before making a judgment about its value importance or quality;B2
flaw;a mistake or fault in something that makes it useless less effective or less beautiful;B2
ideal;of the best or most suitable type;B2
ideal;as good as you can imagine and probably too good to be real;B2
inadequate;not enough or not good enough for a particular purpose;B2
prime;most important most suitable or of the highest quality;B2
reinforce;to make an idea belief or feeling stronger;B2
reinforce;to make a building structure or object stronger;B2
rotten;something that is rotten has decayed;B2
rotten;of a low quality standard or ability;B2
rusty;a rusty metal object is covered in rust;B2
satisfactory;good enough to be accepted in a particular situation;B2
satisfactory;enjoyable and pleasing;B2
stale;stale food such as bread is old and no longer fresh;B2
strengthen;to make something stronger;B2
ultimate;happening at the end of a process or activity;B2
ultimate;as good or as bad as possible;B2
worsen;to become worse or to make something worse;B2
abstract;abstract art expresses the artist's ideas or feelings rather than showing the exact appearance of people or things;B2
abstract;an abstract painting or design;B2
audition;a short performance in which you sing dance or act so that someone can decide if you are good enough to perform in a particular play concert etc;B2
collector's item;a rare or valuable object that collectors want to own;B2
fine art;objects such as paintings that are created to be looked at because they are beautiful or interesting;B2
lines;the words that an actor says in a performance;B2
masterpiece;an excellent painting book piece of music etc or the best work of art that a particular artist writer musician etc has ever produced;B2
period;typical of a particular historical time;B2
period;a particular time in history;B2
recital;a performance of music or poetry;B2
score;the music written for a film play etc.;B2
sketch;a short funny scene performed within a longer show;B2
work of art;something such as a painting or sculpture that is of very high quality;B2
work of art;something that is made or done in a skilful or attractive way;B2
worthless;not having any value or good qualities or not useful;B2
bond;to fix two things firmly together usually with glue or to become fixed in this way;B2
bond;the way that two surfaces are stuck together usually with glue;B2
bond;something that gives people or groups a reason to love one another or feel they have a duty to one another;B2
compromise;to solve a problem or end an argument by accepting that you cannot have everything that you want;B2
compromise;a way of solving a problem or ending an argument in which both people or groups accept that they cannot have everything they want;B2
conflict;angry disagreement between people or groups;B2
confront;to deal with a difficult situation;B2
consistent;not changing in behaviour attitudes or qualities;B2
contradict;if one statement piece of evidence story etc contradicts another they disagree and cannot both be true;B2
contrasting;different from each other in a noticeable or interesting way;B2
dispute;a serious disagreement especially one between groups of people that lasts for a long time;B2
distinguish;to recognise the differences between things;B2
diverse;very different from each other;B2
divorce;to take legal action to end your marriage;B2
divorce;a legal way of ending a marriage;B2
equivalent;someone or something that has the same size value importance or meaning as someone or something else;B2
equivalent;of the same size value importance or meaning as something else;B2
exclude;to deliberately not include something;B2
external;coming from outside a place or organisation;B2
external;on or from the outside of something such as a building or someone's body;B2
identify with;feel that you can understand and share someone else's feelings;B2
interfere;to deliberately become involved in a situation and try to influence the way that it develops although you have no right to do this;B2
intermediate;in between two stages places levels times etc;B2
intermediate;at an academic level below advanced;B2
internal;existing or happening inside an object a building or your body;B2
intimate;an intimate relationship is a very close personal relationship especially a sexual one;B2
intimate;relating to very private or personal things;B2
joint;involving two or more people or done by them together;B2
link;if people things or events are linked they are related to each other in some way;B2
link;to say or show that two things are related or that one of the things causes the other;B2
link;a connection between two or more people places facts or events especially when one is affected or caused by the other;B2
mutual;felt or done in the same way by each of two or more people;B2
relative;having a particular quality when compared to something else;B2
resemblance;if there is a resemblance between two people or things they are similar especially in their appearance;B2
acquaintance;someone you know a little who is not a close friend;B2
adopt;to decide to start using a particular idea plan or method;B2
adopt;to take someone else's child into your family and legally make him or her your own child;B2
ancestor;someone who is related to you who lived a long time ago;B2
companion;someone who is with you;B2
descendant;a relative of a person who lived in the past;B2
extrovert;someone who is very confident lively and likes social situations;B2
foster;to look after a child as part of your family for a period of time because the child's parents cannot look after them;B2
guardian;someone who is legally responsible for another person such as a child whose parents have died;B2
peer;someone who is of the same age as another person;B2
sibling;your siblings are your brothers and sisters;B2
spouse;a husband or wife;B2
addiction;a strong need that someone feels to regularly take an illegal or harmful drug;B2
adore;to love someone/something very much;B2
anticipation;a feeling of excitement about something enjoyable that is going to happen soon;B2
appeal;to ask people to do something or to behave in a particular way especially in a difficult situation;B2
appeal;if something appeals to you you like it or want it;B2
appeal;a quality that something has that makes people like it or want it;B2
appeal;a request for people to do something or to behave in a particular way;B2
compulsory;something that is compulsory must be done because of a rule or law;B2
content;happy and satisfied with your life;B2
decline;to say politely that you will not accept something or do something;B2
decline;to become less or worse;B2
dedicated;spending all your time and effort on something;B2
delight;to give someone a lot of enjoyment or pleasure;B2
desire;to want something;B2
desire;a strong feeling of wanting to have or do something;B2
devote;to spend a lot of time or effort doing something;B2
devote;to use something such as money for a particular purpose;B2
envy;to have the unhappy feeling of wanting to be like someone else or have what they have;B2
envy;the unhappy feeling you have when you want very much to do something that someone else does or have something that they have;B2
fancy;to want to have or do something;B2
fascination;the state of being very interested in something or attracted by something;B2
favour;to support an idea and believe that it is better than other ideas that have been suggested;B2
favour;to help someone and give them an advantage in an unfair way;B2
greedy;wanting more money things or power than you need;B2
impulse;a sudden strong feeling that you must do something;B2
inclined;feeling that you want to do something;B2
liking;a feeling of enjoying or liking something;B2
motive;the reason you do something;B2
obsessed;considering someone or something as so important that you are always thinking about them in a way that seems extreme to other people;B2
optional;something that is optional is available or possible if you want it but you do not have to have it or do it;B2
passion;a strong enthusiasm or interest;B2
sacrifice;to give up something important or valuable so that you or other people can do or have something else;B2
sacrifice;the act of giving up something important or valuable so that you or other people can do or have something else;B2
taste;the ability to judge if something is good or bad in things like art fashion and social behaviour;B2
tempting;used for describing something that makes you feel you would like to have it or do it;B2
welcome;to say that you are pleased to accept or consider something such as an opportunity or a question;B2
worthwhile;if something is worthwhile it is worth the time money or effort that you spend on it;B2
idle;not doing anything when there are things that you should do;B2
idle;workers who are idle have no work;B2
trivial;not very interesting serious or valuable;B2
unwind;to begin to relax after you have been working hard or feeling nervous;B2
venue;the place where an activity or event happens;B2
