base word;word formation;type;definition;Level
impress;impressed;suffix -ed;feeling admiration;B1
improve;improvement;suffix -ment;the act of making better;B1
improve;improved;suffix -ed;made better;B1
mean;meaning;suffix -ing;the idea represented by a word;B1
mount;mountain;suffix -ain;large natural elevation of land;B1
move;movement;suffix -ment;the act of changing position;B1
move;moving;suffix -ing;causing emotion or in motion;B1
new;newly;suffix -ly;recently or freshly;B1
office;officer;suffix -er;person in a position of authority;B1
pass;passage;suffix -age;a section of text or a journey;B1
perfect;perfectly;suffix -ly;in a perfect way;B1
person;personally;suffix -ly;in person or in one's opinion;B1
place;replace;prefix re-;to put something back or substitute;B1
play;player;suffix -er;person who plays;B1
power;powerful;suffix -ful;having great power;B1
probable;probably;suffix -ably;almost certainly;B1
produce;product;suffix -ct;something that is made;B1
produce;production;suffix -ion;the process of making goods;B1
rapid;rapidly;suffix -ly;quickly;B1
reason;reasonable;suffix -able;fair and sensible;B1
reason;reasonably;suffix -ably;in a fair and sensible way;B1
relate;relation;suffix -ion;connection or family member;B1
relate;relationship;suffix -ship;the way two things are connected;B1
relate;relatively;suffix -ly;in comparison with something else;B1
relax;relaxing;suffix -ing;causing relaxation;B1
relax;relaxed;suffix -ed;calm and not worried;B1
respond;response;suffix -se;an answer or reaction;B1
risk;risky;suffix -y;full of danger;B1
satisfy;satisfied;suffix -ed;pleased;B1
self;selfish;suffix -ish;lacking consideration for others;B1
shelf;shelves;plural form;plural of shelf;B1
soft;softly;suffix -ly;in a soft way;B1
speak;spoke;irregular past;past tense of speak;B1
speak;speech;suffix -eech;the ability to speak;B1
speak;speaker;suffix -er;person who speaks;B1
speed;speed;base form;rate of movement;B1
sport;sports;plural form;athletic activities;B1
state;statement;suffix -ment;a formal account;B1
strong;strength;suffix -th;the quality of being strong;B1
strong;strongly;suffix -ly;in a strong way;B1
suggest;suggestion;suffix -ion;an idea or recommendation;B1
terror;terrible;suffix -ible;very bad or serious;B1
terror;terrific;suffix -ific;excellent or very large;B1
terror;terribly;suffix -ibly;very much or very badly;B1
think;thought;suffix -ought;idea or opinion;B1
think;thinking;suffix -ing;the process of thought;B1
time;timetable;compound;schedule;B1
type;typically;suffix -ally;in a typical way;B1
up;upper;suffix -er;situated above;B1
up;upward;suffix -ward;towards a higher position;B1
up;upwards;suffix -wards;towards a higher position;B1
use;used;suffix -ed;not new or accustomed;B1
use;useful;suffix -ful;helpful;B1
use;useless;suffix -less;not helpful;B1
value;valuable;suffix -able;worth a lot;B1
weigh;weight;suffix -t;the measure of heaviness;B1
weigh;overweight;prefix over- + suffix -t;too heavy;B1
work;worker;suffix -er;person who works;B1
work;workplace;compound;place where people work;B1
work;working;suffix -ing;employed or functioning;B1
write;writing;suffix -ing;the activity of writing;B1
write;writer;suffix -er;person who writes;B1
young;youth;suffix -th;the period of being young;B1
