base word;word formation;type;definition;Level
attach;unattached;prefix un- + suffix -ed;not connected or not in a relationship;B2
available;availability;suffix -ity;the state of being available;B2
available;unavailability;prefix un- + suffix -ity;the state of not being available;B2
available;unavailable;prefix un- + suffix -able;not able to be used or reached;B2
avoid;avoidance;suffix -ance;the act of avoiding;B2
avoid;avoidable;suffix -able;able to be prevented;B2
avoid;unavoidable;prefix un- + suffix -able;inevitable;B2
avoid;unavoidably;prefix un- + suffix -ably;inevitably;B2
awe;awfulness;suffix -ness;terribleness;B2
awe;awestruck;compound;filled with awe;B2
awe;awfully;suffix -ly;very or terribly;B2
believe;disbelieve;prefix dis-;to not believe;B2
believe;disbelief;prefix dis- + suffix -ief;lack of belief;B2
believe;believer;suffix -er;person who believes;B2
believe;unbeliever;prefix un- + suffix -er;person who does not believe;B2
believe;believable;suffix -able;able to be believed;B2
believe;disbelieving;prefix dis- + suffix -ing;showing disbelief;B2
believe;unbelievably;prefix un- + suffix -ably;in an unbelievable way;B2
benefit;beneficiary;suffix -ary;person who receives benefits;B2
benefit;beneficial;suffix -ial;having a good effect;B2
benefit;beneficially;suffix -ially;in a beneficial way;B2
brief;debrief;prefix de-;to question someone after a mission;B2
brief;debriefing;suffix -ing;session of questioning;B2
brief;briefing;suffix -ing;meeting to give information;B2
brief;briefs;plural form;short documents or underwear;B2
brilliant;brilliance;suffix -ance;exceptional intelligence or brightness;B2
brilliant;brilliantly;suffix -ly;in a brilliant way;B2
capable;capability;suffix -ity;ability to do something;B2
capable;incapable;prefix in- + suffix -able;not able;B2
capable;capably;suffix -ably;in a capable way;B2
cause;causation;suffix -ation;the act of causing something;B2
cause;causal;suffix -al;relating to a cause;B2
cause;causative;suffix -ative;expressing cause;B2
change;changeover;suffix -over;switch from one system to another;B2
change;unchanging;prefix un- + suffix -ing;not changing;B2
change;changeable;suffix -able;likely to change;B2
change;interchangeable;suffix -able;able to be swapped;B2
character;characterise;suffix -ise;to describe the qualities of;B2
character;characterisation;suffix -ation;the act of describing character;B2
character;characteristic;suffix -istic;typical feature;B2
character;uncharacteristic;prefix un- + suffix -istic;not typical;B2
charity;charitable;suffix -able;generous to those in need;B2
charity;charitably;suffix -ably;in a generous way;B2
choose;choosy;suffix -y;difficult to please;B2
class;declassify;prefix de-;to make no longer secret;B2
class;classify;base form;to arrange in categories;B2
class;classics;plural form;ancient Greek and Roman studies;B2
class;classification;suffix -ation;the act of classifying;B2
class;classy;suffix -y;stylish and sophisticated;B2
class;classified;suffix -ied;officially secret;B2
class;declassified;prefix de- + suffix -ied;no longer secret;B2
class;classical;suffix -ical;relating to ancient Greek and Roman culture;B2
class;classically;suffix -ally;in a classical way;B2
collect;collectable;suffix -able;worth collecting;B2
collect;collected;suffix -ed;calm and in control;B2
collect;collectively;suffix -ly;as a group;B2
come;overcome;prefix over-;to succeed in dealing with a problem;B2
come;comeback;suffix -back;return to success;B2
come;newcomer;prefix new- + suffix -er;person who has recently arrived;B2
come;outcome;suffix -out;result or consequence;B2
come;oncoming;suffix -ing;approaching;B2
come;incoming;suffix -ing;arriving or about to start;B2
compete;competitor;suffix -or;person who competes;B2
compete;competitiveness;suffix -ness;desire to win;B2
compete;competitive;suffix -ive;wanting to win or be successful;B2
compete;uncompetitive;prefix un- + suffix -ive;not wanting to compete;B2
compete;competitively;suffix -ly;in a competitive way;B2
conceive;concept;suffix -ept;abstract idea;B2
conceive;conception;suffix -ion;the forming of an idea;B2
conceive;conceptual;suffix -ual;relating to concepts;B2
conceive;conceivable;suffix -able;able to be imagined;B2
conceive;inconceivable;prefix in- + suffix -able;unimaginable;B2
conceive;conceivably;suffix -ably;it is possible to imagine;B2
confuse;confusingly;suffix -ly;in a confusing way;B2
connect;disconnect;prefix dis-;to separate;B2
connect;reconnect;prefix re-;to connect again;B2
connect;interconnect;prefix inter-;to connect with each other;B2
connect;connector;suffix -or;device that connects;B2
connect;disconnection;prefix dis- + suffix -ion;the act of disconnecting;B2
connect;reconnection;prefix re- + suffix -ion;the act of reconnecting;B2
connect;interconnection;suffix -ion;mutual connection;B2
connect;connecting;suffix -ing;joining together;B2
connect;disconnected;prefix dis- + suffix -ed;separated;B2
connect;interconnected;prefix inter- + suffix -ed;mutually connected;B2
connect;unconnected;prefix un- + suffix -ed;not connected;B2
conserve;conservation;suffix -ation;protection of the environment;B2
conserve;conservationist;suffix -ist;person who protects the environment;B2
conserve;conservative;suffix -ative;opposed to change;B2
conserve;conservatively;suffix -ly;in a conservative way;B2
consider;consideration;suffix -ation;careful thought;B2
consider;considered;suffix -ed;thought about;B2
consider;considering;preposition;taking into account;B2
consider;considerable;suffix -able;large or important;B2
consider;considerably;suffix -ably;much or a lot;B2
content;contentment;suffix -ment;state of satisfaction;B2
content;discontent;prefix dis-;lack of satisfaction;B2
content;contented;suffix -ed;satisfied;B2
content;discontented;prefix dis- + suffix -ed;dissatisfied;B2
continue;discontinue;prefix dis-;to stop;B2
continue;continuity;suffix -ity;state of continuing without interruption;B2
continue;continuation;suffix -ation;the act of continuing;B2
continue;continual;suffix -ual;repeated frequently;B2
continue;continually;suffix -ally;repeatedly;B2
continue;continuously;suffix -ously;without stopping;B2
convert;conversion;suffix -ion;the act of changing;B2
convert;convertible;suffix -ible;able to be changed or a car with a folding roof;B2
convince;conviction;suffix -ion;firm belief;B2
convince;convinced;suffix -ed;certain;B2
convince;unconvinced;prefix un- + suffix -ed;not certain;B2
convince;convincing;suffix -ing;persuasive;B2
convince;unconvincing;prefix un- + suffix -ing;not persuasive;B2
convince;convincingly;suffix -ly;in a convincing way;B2
convince;unconvincingly;prefix un- + suffix -ly;in an unconvincing way;B2
crime;criminalise;suffix -alise;to make illegal;B2
crime;decriminalise;prefix de- + suffix -alise;to make legal;B2
crime;criminally;suffix -ally;in a criminal way;B2
decide;decider;suffix -er;person who decides;B2
decide;decisiveness;suffix -ness;ability to decide quickly;B2
decide;deciding;suffix -ing;that determines the result;B2
decide;decisive;suffix -ive;making decisions quickly;B2
decide;indecisive;prefix in- + suffix -ive;unable to decide;B2
decide;decisively;suffix -ly;in a decisive way;B2
decide;indecisively;prefix in- + suffix -ly;in an indecisive way;B2
declare;declaration;suffix -ation;formal statement;B2
declare;declared;suffix -ed;formally stated;B2
declare;undeclared;prefix un- + suffix -ed;not formally stated;B2
define;defined;suffix -ed;clearly described;B2
define;definitive;suffix -itive;final or authoritative;B2
define;definitively;suffix -ly;in a definitive way;B2
define;indefinitely;prefix in- + suffix -itely;for an unlimited time;B2
dense;density;suffix -ity;thickness or compactness;B2
dense;densely;suffix -ly;in a dense way;B2
depend;dependence;suffix -ence;state of relying on;B2
depend;independence;prefix in- + suffix -ence;state of not relying on;B2
depend;dependant;suffix -ant;person who relies on another;B2
depend;dependency;suffix -ency;state of being dependent or a territory;B2
depend;dependable;suffix -able;reliable;B2
depend;dependently;suffix -ly;in a dependent way;B2
depend;independently;prefix in- + suffix -ly;without relying on others;B2
derive;derivation;suffix -ation;origin or source;B2
derive;derivative;suffix -ative;something derived from something else;B2
desire;desirable;suffix -able;wanted;B2
desire;undesirable;prefix un- + suffix -able;not wanted;B2
desire;desired;suffix -ed;wanted;B2
desire;desirably;suffix -ably;in a desirable way;B2
destroy;destroyer;suffix -er;person or thing that destroys;B2
destroy;destruction;suffix -ion;the act of destroying;B2
destroy;indestructible;prefix in- + suffix -ible;cannot be destroyed;B2
destroy;destructively;suffix -ly;in a destructive way;B2
distant;distantly;suffix -ly;in a distant way;B2
do;overdo;prefix over-;to do too much;B2
do;outdo;prefix out-;to do better than;B2
do;undo;prefix un-;to reverse;B2
do;overdid;past of overdo;past tense of overdo;B2
do;undid;past of undo;past tense of undo;B2
do;overdone;past participle;past participle of overdo;B2
do;undone;past participle;past participle of undo;B2
dominate;domination;suffix -ation;control or power over;B2
dominate;predominance;prefix pre- + suffix -ance;state of being dominant;B2
dominate;dominant;suffix -ant;most important or powerful;B2
dominate;dominating;suffix -ing;exercising control;B2
dominate;predominant;prefix pre- + suffix -ant;main or most common;B2
dominate;predominantly;prefix pre- + suffix -ly;mainly or mostly;B2
doubt;doubter;suffix -er;person who doubts;B2
doubt;doubtful;suffix -ful;uncertain;B2
doubt;doubtfully;suffix -ly;in a doubtful way;B2
doubt;undoubtedly;prefix un- + suffix -ly;without doubt;B2
doubt;doubtless;suffix -less;certainly;B2
draw;withdraw;prefix with-;to take back or remove;B2
draw;withdrew;past of withdraw;past tense of withdraw;B2
draw;withdrawal;suffix -al;the act of withdrawing;B2
draw;overdraft;prefix over-;negative bank balance;B2
draw;overdrawn;past participle;having a negative bank balance;B2
draw;withdrawn;past participle;removed or shy;B2
duty;dutiful;suffix -ful;doing what is expected;B2
duty;dutifully;suffix -ly;in a dutiful way;B2
ecology;ecologist;suffix -ist;person who studies ecology;B2
ecology;ecological;suffix -ical;relating to ecology;B2
ecology;ecologically;suffix -ally;in an ecological way;B2
edit;edition;suffix -ion;version of a text;B2
edit;editor;suffix -or;person who edits;B2
edit;edited;suffix -ed;corrected or prepared for publication;B2
edit;unedited;prefix un- + suffix -ed;not edited;B2
edit;editorial;suffix -ial;article expressing opinion;B2
effect;effectiveness;suffix -ness;the quality of being effective;B2
effect;ineffectiveness;prefix in- + suffix -ness;lack of effectiveness;B2
effect;effective;suffix -ive;successful in producing a result;B2
effect;ineffective;prefix in- + suffix -ive;not producing the desired result;B2
effect;effectively;suffix -ly;in an effective way;B2
effect;ineffectively;prefix in- + suffix -ly;in an ineffective way;B2
electric;electrician;suffix -ian;person who installs electrical systems;B2
electric;electrified;suffix -ied;powered by electricity;B2
electric;electrical;suffix -ical;relating to electricity;B2
electric;electrically;suffix -ally;in an electrical way;B2
elude;elusiveness;suffix -ness;quality of being difficult to catch;B2
elude;elusively;suffix -ly;in an elusive way;B2
employ;employable;suffix -able;able to be employed;B2
end;unending;prefix un- + suffix -ing;never ending;B2
end;endless;suffix -less;never ending;B2
end;endlessly;suffix -ly;in an endless way;B2
good;goodness;suffix -ness;the quality of being good;B2
good;goodwill;compound;friendly or helpful attitude;B2
govern;governor;suffix -or;person who governs a region;B2
govern;governing;suffix -ing;having control or authority;B2
govern;governmental;suffix -al;relating to government;B2
hand;handler;suffix -er;person who handles something;B2
hand;handling;suffix -ing;the act of managing or dealing;B2
hand;handout;suffix -out;something given for free;B2
hand;handover;suffix -over;the act of giving control;B2
hand;handmade;compound;made by hand;B2
hand;handy;suffix -y;useful or convenient;B2
hard;harden;suffix -en;to make or become hard;B2
hard;hardship;suffix -ship;severe suffering or difficulty;B2
hard;hardness;suffix -ness;the quality of being hard;B2
hear;overhear;prefix over-;to hear accidentally;B2
high;heighten;suffix -en;to increase or intensify;B2
high;heightened;suffix -ed;increased or intensified;B2
history;historian;suffix -ian;person who studies history;B2
history;historic;suffix -ic;famous or important in history;B2
history;historically;suffix -ally;in a way that relates to history;B2
human;humanise;suffix -ise;to make more humane;B2
human;humanity;suffix -ity;the human race or humaneness;B2
human;humanities;plural form;academic subjects such as literature and history;B2
human;humanitarian;suffix -arian;concerned with human welfare;B2
human;humane;suffix -ane;compassionate and kind;B2
ideal;idealise;suffix -ise;to regard as perfect;B2
ideal;idealised;suffix -ed;regarded as perfect;B2
ideal;ideally;suffix -ly;in a perfect way;B2
illusion;disillusion;prefix dis-;to disappoint by revealing the truth;B2
illusion;disillusioned;suffix -ed;disappointed by the truth;B2
imagine;imagination;suffix -ation;the ability to form mental images;B2
imagine;imaginary;suffix -ary;existing only in the imagination;B2
imagine;imaginative;suffix -ative;having or showing creativity;B2
imagine;unimaginative;prefix un- + suffix -ative;lacking creativity;B2
imagine;imaginatively;suffix -ly;in a creative way;B2
imitate;imitation;suffix -ation;the act of copying;B2
imitate;imitator;suffix -or;person who copies;B2
imply;implicate;suffix -ate;to show involvement in something;B2
imply;implication;suffix -ation;a possible consequence;B2
imply;implicitly;suffix -ly;in a way that is not directly expressed;B2
impress;impressionism;suffix -ism;art movement focusing on light and color;B2
impress;impressionist;suffix -ist;artist of impressionism;B2
impress;unimpressed;prefix un- + suffix -ed;not feeling admiration;B2
impress;impressionable;suffix -able;easily influenced;B2
impress;impressive;suffix -ive;evoking admiration;B2
impress;unimpressive;prefix un- + suffix -ive;not evoking admiration;B2
impress;impressively;suffix -ly;in a way that evokes admiration;B2
incident;incidence;suffix -ence;the rate of occurrence;B2
incident;coincidence;suffix -ence;an accidental remarkable event;B2
incident;incidental;suffix -al;occurring as a minor consequence;B2
incident;incidentally;suffix -ally;by the way;B2
incident;coincidental;suffix -al;happening by chance;B2
incident;coincidentally;suffix -ally;by chance;B2
indicate;indication;suffix -ation;a sign or piece of information;B2
indicate;indicator;suffix -or;something that shows a condition;B2
indicate;indicative;suffix -ive;showing or suggesting;B2
individual;individually;suffix -ly;separately or one by one;B2
influence;influential;suffix -ial;having great influence;B2
inhabit;inhabitant;suffix -ant;person living in a place;B2
inhabit;habitat;suffix -at;natural home of an organism;B2
inhabit;habitation;suffix -ation;the act of living in a place;B2
inhabit;habitable;suffix -able;suitable for living in;B2
inhabit;uninhabitable;prefix un- + suffix -able;not suitable for living in;B2
inhabit;uninhabited;prefix un- + suffix -ed;with no people living there;B2
manufacture;manufacturer;suffix -er;company that makes goods;B2
manufacture;manufacturing;suffix -ing;the business of making goods;B2
match;matchstick;suffix -stick;stick used for lighting a fire;B2
match;matchbook;compound;folder of paper matches;B2
match;matchbox;compound;box for matches;B2
match;matching;suffix -ing;corresponding or suited;B2
match;unmatched;prefix un- + suffix -ed;not matched or surpassed;B2
material;materialise;suffix -ise;to become real or actual;B2
material;materialism;suffix -ism;focus on material possessions;B2
material;materialistic;suffix -istic;concerned with possessions;B2
material;immaterial;prefix im- + suffix -ial;unimportant or irrelevant;B2
material;materially;suffix -ly;in terms of money or possessions;B2
mature;maturity;suffix -ity;the state of being mature;B2
mature;immaturity;prefix im- + suffix -ity;the state of being immature;B2
mature;immature;prefix im- + suffix -ure;not fully developed;B2
mean;meaningless;suffix -less;having no meaning;B2
mean;meaningfully;suffix -fully;in a way that has meaning;B2
metal;metallic;suffix -ic;relating to or resembling metal;B2
might;mighty;suffix -y;powerful or strong;B2
minor;minority;suffix -ity;the smaller number or part;B2
mobile;mobilise;suffix -ise;to prepare for movement or action;B2
mobile;immobilise;prefix im- + suffix -ise;to prevent movement;B2
mobile;mobility;suffix -ity;the ability to move;B2
mobile;immobility;prefix im- + suffix -ity;inability to move;B2
mobile;mobilisation;suffix -ation;the act of preparing for action;B2
mobile;immobile;prefix im- + suffix -ile;not moving;B2
modern;modernise;suffix -ise;to make modern;B2
modern;modernisation;suffix -ation;the process of making modern;B2
modern;modernity;suffix -ity;the quality of being modern;B2
moment;momentous;suffix -ous;very important;B2
moment;momentary;suffix -ary;lasting for a very short time;B2
moment;momentarily;suffix -ly;for a very short time;B2
moral;demoralise;prefix de- + suffix -ise;to cause loss of confidence;B2
moral;morality;suffix -ity;principles of right and wrong;B2
moral;immorality;prefix im- + suffix -ity;state of being immoral;B2
moral;morale;suffix -e;confidence and enthusiasm;B2
moral;moral;suffix -al;concerned with right and wrong;B2
moral;immoral;prefix im- + suffix -al;not conforming to accepted standards;B2
moral;morally;suffix -ly;in a moral way;B2
moral;immorally;prefix im- + suffix -ly;in an immoral way;B2
motion;motionless;suffix -less;not moving;B2
motive;motivate;suffix -ate;to provide a reason to act;B2
motive;demotivate;prefix de- + suffix -ate;to cause loss of motivation;B2
motive;motivation;suffix -ation;the reason for acting;B2
motive;motivating;suffix -ing;providing motivation;B2
motive;motivational;suffix -ational;intended to motivate;B2
mount;mountaineering;suffix -eering;the sport of climbing mountains;B2
mount;insurmountable;prefix in- + suffix -able;impossible to overcome;B2
mount;mountainous;suffix -ous;full of mountains;B2
move;mover;suffix -er;person or thing that moves;B2
move;movable;suffix -able;able to be moved;B2
move;immovable;prefix im- + suffix -able;unable to be moved;B2
mystery;mystify;suffix -ify;to bewilder or puzzle;B2
mystery;mysterious;suffix -ious;difficult to understand;B2
mystery;mysteriously;suffix -ly;in a mysterious way;B2
neglect;negligence;suffix -ence;failure to take proper care;B2
neglect;negligible;suffix -ible;so small as to be unimportant;B2
neglect;negligent;suffix -ent;failing to take proper care;B2
neglect;negligently;suffix -ly;in a negligent way;B2
new;renew;prefix re-;to make new again;B2
new;renewal;suffix -al;the act of making new;B2
new;newness;suffix -ness;the quality of being new;B2
new;renewable;suffix -able;able to be renewed;B2
object;objective;suffix -ive;goal or aim;B2
object;objection;suffix -ion;expression of disapproval;B2
object;objectively;suffix -ly;in an unbiased way;B2
observe;observation;suffix -ation;the act of watching;B2
observe;observer;suffix -er;person who watches;B2
observe;observatory;suffix -atory;building for astronomical observation;B2
observe;observable;suffix -able;able to be seen or noticed;B2
observe;observant;suffix -ant;quick to notice things;B2
obsess;obsession;suffix -ion;an unhealthy preoccupation;B2
obsess;obsessed;suffix -ed;preoccupied in an unhealthy way;B2
obsess;obsessive;suffix -ive;relating to obsession;B2
occur;recur;prefix re-;to happen again or repeatedly;B2
occur;occurrence;suffix -ence;an incident or event;B2
occur;recurrence;suffix -ence;the act of happening again;B2
occur;recurring;suffix -ing;happening repeatedly;B2
occur;recurrent;suffix -ent;occurring repeatedly;B2
office;official;base form;person with authority or authorized;B2
office;unofficial;prefix un- + suffix -ial;not authorized;B2
office;officially;suffix -ly;in an official way;B2
office;unofficially;prefix un- + suffix -ly;in an unofficial way;B2
parent;parenting;suffix -ing;the activity of raising children;B2
parent;parenthood;suffix -hood;the state of being a parent;B2
parent;parental;suffix -al;relating to parents;B2
pass;impassable;prefix im- + suffix -able;impossible to travel through;B2
pass;passing;suffix -ing;going past or temporary;B2
patient;patience;suffix -ence;ability to wait calmly;B2
patient;impatient;prefix im- + suffix -ent;unable to wait calmly;B2
patient;patiently;suffix -ly;in a patient way;B2
patient;impatiently;prefix im- + suffix -ly;in an impatient way;B2
pay;overpay;prefix over-;to pay too much;B2
pay;underpay;prefix under-;to pay too little;B2
pay;repay;prefix re-;to pay back money;B2
pay;overpayment;suffix -ment;the act of paying too much;B2
pay;underpayment;suffix -ment;the act of paying too little;B2
pay;repayment;suffix -ment;the act of paying back;B2
pay;payback;compound;the act of repaying;B2
pay;payee;suffix -ee;person who receives payment;B2
pay;payer;suffix -er;person who pays;B2
pay;payoff;compound;the result or profit from an action;B2
pay;payout;compound;a large payment;B2
pay;payroll;compound;list of employees and their salaries;B2
pay;payslip;compound;document showing salary details;B2
pay;overpaid;suffix -ed;paid too much;B2
pay;underpaid;suffix -ed;paid too little;B2
pay;payable;suffix -able;that must be paid;B2
perceive;perception;suffix -ion;the ability to notice things;B2
perceive;imperceptible;prefix im- + suffix -ible;impossible to notice;B2
perceive;perceptible;suffix -ible;able to be noticed;B2
perceive;perceptively;suffix -ly;in a perceptive way;B2
perfect;perfection;suffix -ion;the state of being perfect;B2
perfect;imperfection;prefix im- + suffix -ion;flaw or fault;B2
perfect;perfectionist;suffix -ist;person who demands perfection;B2
perfect;perfectionism;suffix -ism;the demand for perfection;B2
perfect;imperfect;prefix im- + suffix -ect;not perfect;B2
perfect;imperfectly;prefix im- + suffix -ly;in an imperfect way;B2
period;periodical;suffix -ical;magazine published at regular intervals;B2
period;periodic;suffix -ic;occurring at intervals;B2
period;periodically;suffix -ally;at regular intervals;B2
permit;permission;suffix -ion;consent or authorization;B2
permit;permissible;suffix -ible;allowed;B2
permit;permissive;suffix -ive;allowing freedom;B2
persist;persistence;suffix -ence;the quality of continuing despite difficulty;B2
persist;persistent;suffix -ent;continuing firmly;B2
persist;persistently;suffix -ly;in a persistent way;B2
person;personalise;suffix -ise;to make personal or customized;B2
person;impersonate;prefix im- + suffix -ate;to pretend to be someone else;B2
person;personality;suffix -ity;character or celebrity;B2
person;personnel;suffix -nel;staff or employees;B2
person;interpersonal;prefix inter- + suffix -al;relating to relationships between people;B2
person;personalised;suffix -ed;made personal;B2
person;impersonal;prefix im- + suffix -al;not personal or lacking human warmth;B2
persuade;persuasion;suffix -ion;the act of convincing;B2
persuade;persuasiveness;suffix -ness;the quality of being persuasive;B2
persuade;persuasive;suffix -ive;able to convince;B2
persuade;persuasively;suffix -ly;in a persuasive way;B2
phrase;rephrase;prefix re-;to express differently;B2
phrase;paraphrase;prefix para-;to reword a text;B2
phrase;phrasing;suffix -ing;the way something is expressed;B2
place;placement;suffix -ment;the act of putting in a position;B2
place;placing;suffix -ing;the position achieved;B2
place;replacement;suffix -ment;a substitute;B2
place;irreplaceable;prefix ir- + suffix -able;impossible to replace;B2
place;replaceable;suffix -able;able to be replaced;B2
play;replay;prefix re-;to play again;B2
play;playful;suffix -ful;fun and lively;B2
play;playfully;suffix -ly;in a playful way;B2
power;empower;prefix em-;to give authority or power;B2
power;overpower;prefix over-;to defeat with superior strength;B2
power;empowerment;suffix -ment;the process of becoming stronger;B2
power;powerlessness;suffix -lessness;lack of power;B2
power;powerfully;suffix -ly;in a powerful way;B2
power;powerless;suffix -less;without power;B2
prefer;preference;suffix -ence;a greater liking for one thing;B2
prefer;preferable;suffix -able;more desirable;B2
prefer;preferred;suffix -ed;liked more;B2
prefer;preferential;suffix -ial;giving advantage to one group;B2
prefer;preferably;suffix -ably;ideally or if possible;B2
prejudice;prejudiced;suffix -ed;having unreasonable dislike;B2
prejudice;unprejudiced;prefix un- + suffix -ed;fair and without bias;B2
prevent;prevention;suffix -ion;the act of stopping something;B2
prevent;preventative;suffix -ative;intended to stop something;B2
prevent;preventive;suffix -ive;intended to stop something;B2
print;reprint;prefix re-;to print again;B2
print;printing;suffix -ing;the process of producing books or newspapers;B2
print;printer;suffix -er;device or person that prints;B2
print;printout;compound;printed output from a computer;B2
print;printed;suffix -ed;produced by printing;B2
probable;probability;suffix -ity;the likelihood of something;B2
probable;improbability;prefix im- + suffix -ity;unlikelihood;B2
probable;improbable;prefix im- + suffix -able;unlikely;B2
process;processor;suffix -or;device that processes data;B2
process;processing;suffix -ing;the act of handling or treating;B2
process;processed;suffix -ed;treated or prepared;B2
produce;producer;suffix -er;person or company that makes goods;B2
produce;productivity;suffix -ity;efficiency of production;B2
produce;counterproductive;prefix counter- + suffix -ive;having the opposite of the desired effect;B2
produce;productive;suffix -ive;producing good results;B2
produce;unproductive;prefix un- + suffix -ive;not producing good results;B2
produce;productively;suffix -ly;in a productive way;B2
progress;progression;suffix -ion;gradual development;B2
progress;progressive;suffix -ive;happening gradually or favoring change;B2
progress;progressively;suffix -ly;in a progressive way;B2
provoke;provocation;suffix -ation;action intended to annoy;B2
provoke;provocative;suffix -ative;intended to provoke;B2
