base word;word formation;type;definition;Level
illusion;disillusionment;suffix -ment;the state of being disappointed;C1
illusion;illusory;suffix -ory;based on illusion;C1
imagine;imaginings;plural form;thoughts or fantasies;C1
imitate;imitative;suffix -ative;copying others;C1
imitate;inimitable;prefix in- + suffix -able;impossible to copy;C1
impress;impressionistic;suffix -istic;relating to impressionism;C1
improve;improvable;suffix -able;capable of being improved;C1
individual;individualise;suffix -ise;to make distinctive;C1
individual;individualisation;suffix -ation;the act of making distinctive;C1
individual;individuality;suffix -ity;distinctive qualities;C1
individual;individualist;suffix -ist;person who acts independently;C1
match;matchmaker;suffix -maker;person who arranges relationships;C1
match;matchmaking;suffix -making;the activity of arranging relationships;C1
match;matchwood;compound;small pieces of wood;C1
match;matchless;suffix -less;unparalleled or unique;C1
mature;maturation;suffix -ation;the process of becoming mature;C1
mean;meaninglessness;suffix -lessness;lack of meaning;C1
metal;metallurgy;suffix -urgy;the science of metals;C1
might;mightily;suffix -ly;with great strength or effort;C1
modern;modernism;suffix -ism;a style of art and thought;C1
modern;modernist;suffix -ist;person who follows modernism;C1
moral;moralise;suffix -ise;to comment on morality;C1
moral;amorality;prefix a- + suffix -ity;lack of moral principles;C1
moral;moralist;suffix -ist;person with strong moral views;C1
moral;amoral;prefix a- + suffix -al;lacking moral sense;C1
motive;motivator;suffix -or;person or thing that motivates;C1
motive;demotivator;prefix de- + suffix -or;person or thing that demotivates;C1
motive;demotivation;prefix de- + suffix -ation;loss of motivation;C1
motive;demotivating;prefix de- + suffix -ing;causing loss of motivation;C1
mount;surmount;prefix sur-;to overcome a difficulty;C1
mystery;mystification;suffix -ation;the act of puzzling;C1
neglect;negligibly;suffix -ly;in a negligible way;C1
neglect;neglectfully;suffix -fully;in a neglectful way;C1
new;anew;suffix a-;in a new way;C1
object;objectivity;suffix -ity;lack of bias;C1
object;objector;suffix -or;person who objects;C1
object;unobjectionable;prefix un- + suffix -able;not causing disapproval;C1
observe;observance;suffix -ance;the practice of following a rule;C1
observe;observably;suffix -ably;in a way that can be noticed;C1
obsess;obsessively;suffix -ly;in an obsessive way;C1
office;officiate;suffix -iate;to perform official duties;C1
office;officialdom;suffix -dom;the world of officials;C1
office;officious;suffix -ious;assertive of authority in a meddlesome way;C1
opinion;opinionated;suffix -ated;holding strong opinions;C1
parent;parentage;suffix -age;the identity of one's parents;C1
parent;parentally;suffix -ly;in a parental way;C1
pay;payload;compound;the load carried by a vehicle;C1
perceive;perceptiveness;suffix -ness;the ability to notice things quickly;C1
perceive;imperceptibly;prefix im- + suffix -ibly;in a way that cannot be noticed;C1
perfect;perfectible;suffix -ible;able to be made perfect;C1
permit;permissiveness;suffix -ness;the quality of allowing freedom;C1
person;impersonally;prefix im- + suffix -ly;in an impersonal way;C1
persuade;dissuade;prefix dis-;to persuade not to do something;C1
phrase;phraseology;suffix -ology;the style of phrases;C1
play;overlay;prefix over-;to cover with a layer;C1
play;downplay;prefix down-;to make something seem less important;C1
portion;apportion;prefix ap-;to divide and allocate;C1
power;powerlessly;suffix -ly;in a powerless way;C1
prejudice;prejudicial;suffix -ial;harmful or damaging;C1
prevent;unpreventable;prefix un- + suffix -able;impossible to stop;C1
print;imprint;prefix im-;to mark or stamp;C1
print;unprintable;prefix un- + suffix -able;too offensive to print;C1
probable;improbably;prefix im- + suffix -ably;unlikely;C1
public;publicist;suffix -ist;person who promotes someone or something;C1
pursue;pursuer;suffix -er;person who follows or chases;C1
rational;rationalisation;suffix -ation;the act of justifying;C1
rational;rationalist;suffix -ist;person who believes in reason;C1
rational;rationalism;suffix -ism;belief in reason over emotion;C1
rational;irrationality;prefix ir- + suffix -ity;lack of logic;C1
repair;repairer;suffix -er;person who repairs;C1
repair;reparation;suffix -ation;compensation for harm;C1
repair;irreparable;prefix ir- + suffix -able;impossible to fix;C1
repair;irreparably;prefix ir- + suffix -ably;in a way that cannot be fixed;C1
reside;residentially;suffix -ly;in a residential way;C1
resolve;irresolution;prefix ir- + suffix -ion;lack of determination;C1
resolve;resoluteness;suffix -ness;determination;C1
resolve;irresolute;prefix ir- + suffix -ute;hesitant;C1
resolve;irresolutely;prefix ir- + suffix -ly;in a hesitant way;C1
respond;respondent;suffix -ent;person who responds, especially in a survey;C1
rest;restlessness;suffix -lessness;inability to rest;C1
rest;restive;suffix -ive;unable to keep still;C1
rest;restfully;suffix -ly;in a restful way;C1
result;resultant;suffix -ant;occurring as a result;C1
round;roundness;suffix -ness;the quality of being round;C1
round;roundly;suffix -ly;in a thorough or blunt way;C1
sane;insanely;prefix in- + suffix -ly;in a crazy or extremely way;C1
say;gainsay;prefix gain-;to deny or contradict;C1
say;unsaid;prefix un- + suffix -ed;not spoken;C1
sense;hypersensitivity;prefix hyper- + suffix -ity;extreme sensitivity;C1
sense;sensibility;suffix -ity;ability to appreciate feelings;C1
sense;senselessness;suffix -lessness;lack of meaning;C1
sense;sensuality;suffix -ity;enjoyment of physical pleasures;C1
sense;sensuousness;suffix -ness;appeal to the senses;C1
sense;hypersensitive;prefix hyper- + suffix -ive;extremely sensitive;C1
sense;unsensational;prefix un- + suffix -al;not sensational;C1
sense;sensationally;suffix -ly;in a sensational way;C1
sense;sensual;suffix -ual;relating to physical pleasure;C1
sense;sensually;suffix -ly;in a sensual way;C1
sense;sensuous;suffix -uous;appealing to the senses;C1
sense;sensuously;suffix -ly;in a sensuous way;C1
slip;slippage;suffix -age;the act of slipping or decline;C1
space;spaciously;suffix -ly;in a spacious way;C1
speak;outspokenness;suffix -ness;frankness;C1
speak;unspeakably;prefix un- + suffix -ably;in an unspeakable way;C1
speak;outspokenly;suffix -ly;in an outspoken way;C1
stable;destabilisation;suffix -ation;the act of making unstable;C1
stable;destabilising;suffix -ing;causing instability;C1
stand;upstanding;prefix up- + suffix -ing;honest and respectable;C1
stand;notwithstanding;compound;despite or nevertheless;C1
substance;substantiate;suffix -iate;to provide evidence;C1
substance;substantiation;suffix -ation;the act of providing evidence;C1
suggest;suggestibility;suffix -ity;the quality of being easily influenced;C1
suggest;suggestively;suffix -ly;in a suggestive way;C1
sympathy;sympathiser;suffix -er;person who sympathizes;C1
talk;talkie;suffix -ie;early film with sound;C1
talk;talkback;compound;interactive broadcast;C1
time;mistime;prefix mis-;to do at the wrong time;C1
time;timelessly;suffix -ly;in a timeless way;C1
transit;transitory;suffix -ory;lasting only a short time;C1
transit;transitionally;suffix -ly;in a transitional way;C1
type;typeset;compound;to set text for printing;C1
type;typecast;compound;to repeatedly give an actor similar roles;C1
type;typify;suffix -ify;to be characteristic of;C1
type;typesetting;suffix -ing;the process of setting type;C1
type;typesetter;suffix -er;person who sets type;C1
type;typescript;suffix -cript;typed document;C1
type;typewritten;suffix -ten;produced on a typewriter;C1
up;uppermost;suffix -most;highest in position;C1
use;abuser;suffix -er;person who abuses;C1
value;valuer;suffix -er;person who assesses value;C1
weigh;weighty;suffix -y;serious or heavy;C1
word;rewording;suffix -ing;the act of rewording;C1
word;wordplay;compound;humorous use of words;C1
word;wordy;suffix -y;using too many words;C1
word;wordless;suffix -less;without words;C1
word;wordlessly;suffix -ly;without words;C1
work;reworking;suffix -ing;the act of revising;C1
zeal;zealot;suffix -ot;person with extreme enthusiasm;C1
zeal;zealous;suffix -ous;enthusiastic and devoted;C1
zeal;zealously;suffix -ly;in a zealous way;C1
